,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
50,27.13834,9.029814,8.878544,1.9635527,2.3039713,2.712897,2.1624224,1.9022588,1.720231,1.4260329,0.65446544,1.0896131,0.5648542,1.7642957,1.0606408,0.9568601,2.2348871,0.4692939,0.12337828,1.6555808,1.2220112,0.533466,0.8533291,0.39237815,1.2230723,0.22077256,0.6491726,0.33252278,0.7011317,0.6191494,0.16985802,0.32931042,0.73313725,0.61150146,0.63751465,0.8925219,0.22635925,0.34792346,0.5618412,0.50256443,0.35220724,0.72699004,0.60557395,1.1324029,0.51220256,-0.19542888,0.64620006,0.43435806,0.5873875,0.46928993,0.15416285,0.23051621,0.5050632,0.65434396,0.32231125,0.056632638,0.049138695,0.24476016,0.88971484,-0.31152475,0.28027385,-0.07105899,-0.0037034154,0.5301026,0.12357804,0.3795843,0.10304633,0.0950689,0.54734933,0.78769696,0.3298502,0.16335794,0.14797121,0.40334556,0.27699795,0.5338037,0.37164313,0.14830604,0.1722435,0.3289377,0.53628063,0.20773292,0.2532996,0.4247496,0.19954109,0.6152053,0.13981225,-0.15534176,0.28596947,-0.08736685,0.16769375,0.67786705,0.24097206,-0.054191127,0.07650643,-0.0706839,0.0013098568,0.46001327,0.35090327,0.4457929
51,22.846092,10.443091,15.707864,2.476297,3.0373433,2.6974614,2.2832587,1.6842375,0.61240613,1.839946,1.6773171,2.4883966,1.9094732,1.110132,0.6521104,0.35773835,1.9648124,0.7705309,0.44499627,1.0158477,1.5053096,0.23812264,-0.21567935,-0.020012498,0.43663162,0.19318292,0.66218644,0.6732913,1.525605,0.34189975,0.3314412,0.6340703,1.0017586,0.7294086,0.67322993,0.15047115,0.38780683,0.6780067,0.7732099,0.5596276,0.51316965,0.74537605,0.25653002,0.93139297,-0.12937349,0.31031755,-0.07981008,0.63757086,-0.0066049993,0.005189419,-0.038042933,0.38552493,0.79913425,-0.020827323,0.23239823,0.34495598,0.16773984,-0.011530235,0.29082227,0.9060556,0.31231296,1.1044984,0.09296484,0.5097889,0.5549723,0.44784302,0.9227705,0.38473117,0.34916884,0.4027081,0.13660918,-0.1024456,0.72135365,0.21243408,0.05599019,-0.12779182,0.21078861,0.22590548,0.30341375,0.23733243,0.012365192,0.23567574,0.21026176,-0.14557275,0.18521717,0.25887293,0.3150414,0.3885796,0.17194392,0.58076465,-0.0776474,0.15825741,0.30053645,0.2345953,-0.023872957,0.40361694,0.38880423,-0.06025298,0.4079333,-0.1601447
52,24.582176,8.456199,14.022943,2.383979,1.623437,2.2942808,2.7046058,1.7373855,1.3395002,1.9055328,1.009557,1.4014113,1.1765894,1.6600174,1.1314735,0.46826077,1.1570147,0.56903255,0.5058424,1.3186941,0.7341486,1.3618097,0.8441083,0.7750467,1.031106,0.10460836,1.0163414,0.3934542,0.09261203,0.73817706,0.34045178,0.24298383,0.699148,0.08828306,0.8095918,0.37060443,0.78299,-0.095538616,-0.22518831,0.70856476,1.0858529,0.42273495,0.49337676,0.7728861,0.83143485,0.048859984,0.5439542,0.15634632,0.7792705,0.36524242,1.0320792,0.48140702,0.31722218,0.29536268,0.33893248,0.4447774,0.2893461,0.2245515,0.6148469,-0.24696249,-0.17866272,0.37334213,0.069198996,0.5352906,0.563771,-0.055974454,-0.19091454,0.15990219,0.06594679,0.22579814,0.54710555,0.05297385,0.44787705,0.7560962,0.90664196,0.67983997,0.68456376,0.058378503,0.13234663,0.5615271,0.40625644,0.27889746,0.23018917,-0.23002276,0.19963112,0.2874485,0.2752023,0.07674471,0.10345785,-0.13506547,0.24605875,0.4748808,0.31159836,0.1146002,0.018670753,0.14580904,0.23189956,0.6187099,0.38766965,0.08656578
53,22.733135,6.6266193,14.729642,1.0321007,1.7526761,1.5219313,2.9353309,1.90604,-0.22543555,1.2390122,0.12847972,1.1837555,0.4949193,0.79083997,0.74329185,0.80522704,2.2497334,0.5113931,0.81065786,1.7336513,1.189302,0.26717603,0.31254897,1.020248,0.14812946,0.4328008,0.4348858,0.8573769,0.24165249,0.015615195,0.29389954,0.39859623,0.5880104,0.4233603,0.48002023,0.64355576,0.41235042,0.32651317,0.564956,0.7519396,1.0452162,0.71665233,0.3515634,0.320352,0.48762864,0.64895105,0.43841138,0.5772289,0.13333341,0.23475385,0.6530298,0.54239714,0.40724143,0.054798216,0.17770049,0.20897305,0.3488618,-0.06299074,0.3750534,0.8322286,0.3400333,0.58900815,0.50794953,0.2973596,0.4457236,0.21925136,0.6688949,0.44252166,0.15866873,0.46011305,0.48890755,0.3862956,0.3815806,0.35012442,0.385374,0.662323,0.06436141,0.14110598,0.17073244,0.4266442,0.2669787,-0.3290821,0.04340437,0.51111233,0.2781192,0.18561125,0.19438149,0.04132217,0.29827988,0.46562958,0.12697789,0.2343185,0.54826194,-0.031827644,0.07334994,0.4250694,0.055411488,0.009099111,0.514354,0.19665764
54,26.385561,7.6630316,14.858499,1.6449723,2.088126,2.812503,3.573202,1.8606035,0.6592319,0.6093097,0.33153427,1.2377727,1.3688325,0.008096218,0.44648218,0.48883265,-0.08863354,1.012971,0.47714445,0.53501546,0.8207151,-0.42808443,1.1359447,1.0200639,1.1782345,0.5262279,0.25554633,0.85323274,0.57321435,0.54128337,0.41798788,-0.15641806,0.26807204,0.15848532,0.4060373,0.39447993,0.0125615,0.3992592,0.47657594,0.9232485,0.7040857,0.5017072,0.82406276,0.0861052,0.71378374,0.48524666,-0.040543616,0.39314407,0.58945453,0.231711,1.0967149,0.3453149,0.025762439,0.3590352,0.4731787,0.45250225,0.112924784,0.06953779,-0.05679077,0.3477218,0.11988509,0.4863664,0.3602348,0.1630109,0.73194325,0.6173657,0.5179881,0.2262601,0.22759089,0.47669297,0.52302986,0.52432406,0.5254983,-0.1047295,0.13691586,0.25386557,0.4819911,0.40344912,0.2149385,0.47960657,0.44822252,0.27563414,0.12943769,0.21393341,-0.03682001,0.16625175,0.44568276,0.058013305,0.1619127,-0.15222803,0.06854743,0.34299323,0.19861859,0.14339668,0.4491712,0.4583213,0.15219384,0.6631458,-0.12330793,-0.07717271
55,27.870625,8.35831,8.598391,2.2597787,1.5910264,2.6966572,2.1051333,1.9132239,0.40612692,1.1939802,0.45317018,0.71085453,1.3506358,1.618645,0.847878,1.1914706,0.18289125,0.615406,0.6069688,1.1132414,0.7927404,1.4253088,0.52357054,0.52144885,-0.1906693,0.60242444,0.32584807,0.5279822,0.59341127,0.40259418,0.38126042,0.4417565,0.28798458,0.19566208,0.85793674,1.0173371,0.65169966,0.34464866,0.5548848,0.48299903,0.9971657,0.17048578,0.37725827,0.29630625,0.8287122,0.46750927,0.2605633,0.20919643,0.45513013,0.10940066,0.61563444,-0.14408723,0.22384208,0.18339302,0.1535311,0.38168064,0.40294886,0.3125323,0.81013,0.8804314,0.08017559,0.34063074,0.48662817,0.34032133,0.17442194,0.697624,0.05159405,0.2975071,-0.040025234,0.3222417,0.6223811,0.60695946,0.43969035,0.83013165,0.7404355,-0.074843585,0.17052917,0.15959257,0.13651991,0.024620324,0.24349418,0.16226618,0.14390478,0.47350818,0.30099,0.18496469,0.23095195,0.494479,0.13504946,0.4748182,0.27414048,0.38116506,0.30754092,0.14389259,0.3529642,0.25793463,0.122724965,0.39106703,0.24852756,0.12410328
56,28.801218,8.6164,9.244464,2.2913606,1.1225101,3.0904565,2.1441703,2.6153564,1.1823462,0.6760612,-0.16925335,1.0757598,0.36184835,0.27784693,0.7031679,1.3791258,1.230087,0.48196405,0.9258122,1.1908475,0.7113813,1.2182494,0.7946558,0.9349746,0.68821716,0.32215965,0.2838067,0.3429347,0.6307561,0.420641,0.40884,0.09422055,0.2670582,0.4930914,0.36136937,0.27469933,-0.10582098,0.43396565,0.5632429,0.894777,0.46955997,-0.013304621,0.24801083,0.23232818,0.38554046,0.46759698,1.3307159,0.15196338,0.51677275,0.2682465,0.37551484,0.156093,0.32626063,0.45069703,0.07137838,0.22540978,-0.022307366,0.30858463,0.17233896,0.8909947,0.45516828,0.3506302,0.27282417,0.10507095,0.0040013194,0.3777534,0.066851825,0.43166843,0.15036947,0.26036787,0.40552756,0.17952378,0.080099225,0.37490004,0.026167959,0.4985718,0.27694705,0.3101364,-0.10105707,0.28254855,0.56359607,0.17605746,0.13924742,0.28688946,0.4331802,0.24043003,-0.010776758,0.23163007,0.17097391,0.5089699,0.20907396,0.29304522,0.30732977,0.38833648,0.32903963,0.28617656,-0.3036245,0.14453867,0.3037479,0.45488954
57,30.863953,8.215223,9.080252,2.3552895,2.137476,3.6179903,1.1865449,1.5046642,1.6464353,1.461079,1.1710267,1.52057,1.5731294,0.5830779,0.7534452,0.5392422,0.62073237,0.73594975,0.29347327,0.75285786,0.9389382,0.93387705,0.7953588,0.17249733,1.0099002,0.30393988,0.3440936,0.536521,1.0396397,0.6339767,0.5671475,0.4310404,0.41124964,0.47538,0.70241934,0.25465167,0.23930217,0.5769919,1.1093078,0.51215446,0.27735895,0.6415007,0.6400764,0.71392846,0.44320434,0.42323005,0.7579893,0.7772138,0.32516226,0.002554059,0.6042322,-0.00043323636,0.15076682,0.43578526,0.412755,0.3965545,0.1099042,-5.2616e-05,0.12735778,0.56165475,0.24741232,0.31931186,0.14886492,0.36584738,0.2780357,0.643183,0.7304703,0.12020388,0.43600607,0.313916,0.65784717,0.491576,0.5965128,-0.15427795,0.014869273,-0.31612918,0.14656706,0.4730934,0.230998,0.22470129,-0.17327526,0.2415086,0.17699915,0.4705795,0.27743888,0.21326467,0.36088026,0.21520391,0.14667729,0.4014945,0.20750023,0.29400748,-0.123611376,0.30566156,0.41481066,0.17038009,0.21805514,0.17665765,-0.17460789,0.09910042
58,28.582403,10.243522,8.859594,3.3138351,1.1913118,3.4044027,1.5327566,1.327469,1.6462917,1.4203258,1.6980191,1.5623305,1.1951699,1.2596105,1.0882126,1.3359176,1.4028813,0.6180479,0.12638438,0.9152551,0.85937065,1.6532462,0.6278109,0.375314,1.1714982,0.4008978,0.5453443,-0.07688159,1.2761023,0.7144679,0.12240967,0.33299196,0.13957632,0.60761285,0.6801199,0.5010125,0.61324084,0.67684317,0.68171144,0.44164598,0.49217638,0.30192208,0.27922022,0.76713306,0.42393225,0.08742833,0.6419552,0.100547016,0.39175406,0.25627106,0.26405513,0.3048021,0.5654242,0.4835411,0.13001078,0.2662295,0.17945386,0.27928203,0.7300219,0.1246531,0.33519924,0.18242514,0.20035493,0.17026329,0.2412248,0.45586768,-0.1297229,0.0638527,0.41913393,0.33319277,0.17569289,0.0006133914,0.3112791,0.9174758,0.54327023,0.27962765,0.45365533,0.16536859,-0.005967602,0.3501347,0.4474594,0.6549756,0.15022866,0.19286075,0.1140929,0.3318636,0.090133846,0.5096771,0.097621195,0.26756075,0.14169507,0.2930425,0.048187807,0.25089562,0.20851633,-0.1035617,0.27128828,0.3219653,0.29366213,0.35616165
59,28.374535,9.472919,11.267607,3.148729,2.1132154,3.356341,1.5159366,1.6589917,1.1210308,1.0007806,2.0760698,2.0403924,1.1710513,1.1778345,0.34822005,0.80157715,0.8679415,0.54013205,0.63493615,1.0874742,0.9463025,1.8080924,0.15934253,0.47915965,0.45135546,0.086639255,0.787251,0.34888846,0.7831502,0.2731787,0.22598468,0.694582,0.7801865,0.30790076,0.49764493,0.12360287,0.6288794,0.30489933,0.43552694,0.7679285,0.6181569,0.51440424,0.51975054,0.74070907,0.07282996,0.29870448,1.4286821,0.18222815,-0.24642149,0.023778886,-0.16401473,0.6663538,0.28948575,-0.09250489,0.053950965,0.0716888,0.29874727,0.06584217,0.51520675,0.42467147,0.22556953,0.6149318,0.32259813,0.24901563,0.28414539,0.14142303,0.5961735,0.29457682,0.38895625,0.16648768,0.22736727,0.1513496,0.23067427,0.5236421,0.34276244,0.47860193,0.4002168,0.21705835,0.091152385,0.24575023,0.05469002,0.35858765,0.24921197,0.34389254,0.34000242,0.23702313,-0.054009393,0.20686778,0.05814497,0.60481703,0.15762287,-0.06266397,0.26989588,0.45973748,-0.049891368,0.22083473,0.26689285,-0.340829,0.4361078,0.3220089
