,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
31,26.354286,10.233238,3.6267881,2.3757732,1.4723358,2.1684587,-0.24948597,1.4522252,0.5061109,0.77472687,1.2905859,1.254174,1.765099,0.77794397,0.71842426,1.2841016,1.018214,0.38412714,0.922161,0.8303645,0.46568435,1.2748606,0.29199475,0.6931333,0.33302492,0.5247966,-0.078395605,0.6603495,0.9352108,0.21564326,0.578659,0.70024085,0.5799252,0.42455232,0.83220077,0.41990352,0.019006222,0.37139878,0.2866198,0.41435498,0.4985026,0.057894528,0.19586977,0.36443615,0.49454004,0.5695918,0.59660953,0.56309795,0.5858265,0.39361352,-0.10561156,0.33384538,0.7119436,0.28335106,0.28533322,0.069515795,0.1980876,0.0062180758,0.44566122,1.6988171,0.35393173,0.47348255,0.34294593,0.2669784,-0.1856142,0.52129424,0.86357,0.578107,0.13508996,-0.017658383,0.63805056,0.15661979,0.14270294,0.8369069,0.45008665,0.4678462,-0.10640037,0.5601064,0.12867798,0.09702441,0.46719438,0.11896086,0.3959856,0.38111863,0.38079953,0.033663973,0.10375043,0.5485022,0.050203025,1.1035554,0.048915163,0.19956286,0.32405934,0.3591388,0.41920677,0.30845243,0.22022504,0.15729174,0.6666372,0.2016744
32,32.882656,8.657626,2.920207,2.2300444,1.0845293,2.5743139,0.48431802,1.557013,1.4027228,0.16601098,0.65056574,1.2922376,1.5047448,0.71463966,0.9665706,1.0843598,0.50186324,0.49413687,0.04465753,0.32690793,0.19481015,1.1961164,1.5830162,0.93546355,1.6640433,0.102691144,0.8717419,0.11732614,0.42212862,0.6096821,0.6170447,0.1727689,0.39897913,0.43334728,0.68364716,0.13182926,0.1460838,0.2778507,0.04595813,0.37094355,-0.053994596,0.40607908,0.2710596,-0.113701046,0.72863245,-0.16159576,1.1788741,0.37657356,1.0401179,0.53899586,0.7026926,0.39975473,0.23855348,0.95965683,0.79050803,0.5227815,0.20226799,0.25134942,0.27144593,0.09204298,0.06845912,0.20694228,0.243705,-0.06673831,-0.06443733,0.38959712,0.24096854,0.19028428,0.13271885,0.25326037,0.689921,0.3303756,0.41787934,0.44804347,0.29396772,0.6413586,0.13555986,0.5000935,0.16850306,0.23699577,0.9015466,0.34193632,0.72722197,0.26741254,0.22243889,0.24729382,0.43715584,0.2608269,0.07587525,0.13548514,-0.010808662,0.3598306,0.1694027,0.43549436,0.62650913,0.16356899,-0.20277248,0.8287998,0.23622993,0.43437785
33,36.180252,9.315907,1.8910999,2.3449264,1.8951333,2.8745968,-0.87189317,0.23308885,1.1492839,1.275793,1.3965325,1.16594,1.7996044,1.9061447,1.0638151,1.2309996,0.7779247,0.36580938,0.21443045,-0.65887415,1.2055649,1.3365315,0.18900138,0.5988168,0.88641906,0.5971918,0.6168047,0.4253065,1.1427064,0.3641829,0.48540372,0.6901051,0.7748028,0.5798675,0.7013169,0.7070761,0.4877499,0.32471785,1.169126,-0.20696867,0.43398017,0.29466686,0.25554717,0.5923903,0.18187465,0.5293051,0.9684603,0.982561,0.47117734,0.48504722,0.039744645,0.034157366,0.26121005,0.509541,0.7649969,0.5613712,0.06556311,-0.024232313,0.5122937,0.55451596,0.4130941,0.22385556,-0.19735949,0.53389734,-0.14195368,0.8362193,1.0530908,0.39796236,0.47551507,0.19035384,0.07560229,0.06861186,0.6249733,0.46894014,0.4898589,0.1980712,-0.07424384,0.17764182,0.5593617,0.09738785,0.50607526,0.14581986,0.35374102,-0.15846154,0.18120179,0.3448942,0.53534615,0.36864746,-0.20965269,0.7089521,0.08771689,0.05652812,0.20965096,0.15804286,0.27951235,0.1047423,0.16443478,0.3351485,0.21315612,0.465383
34,30.544218,10.872658,9.304775,3.0209496,1.1401407,3.8357644,0.8519361,1.6225017,1.6853616,0.9074549,1.8068144,2.3544538,1.027484,1.038865,0.75887704,1.0847147,0.62190056,0.4407949,0.5410313,0.21272206,0.30540943,1.0760691,0.9292786,0.60644937,1.621717,0.13406771,0.91850555,0.28327435,0.5264175,0.8162331,0.42282346,0.31890985,0.4627683,0.33659172,0.3351583,1.3589859e-05,0.34782222,0.47809064,-0.16859376,0.69372535,-0.034196973,0.31828386,0.24128576,0.4268287,0.31968206,0.017584026,0.8615478,0.52678514,0.8296834,0.46789414,0.16250113,0.40345648,0.70288205,0.62584263,0.6041465,0.15314828,0.028259546,0.39572337,0.7140182,-0.06575334,0.09243342,0.5079552,-0.20913364,0.100628614,0.1481765,-0.03286609,0.463211,0.45459452,0.36210978,0.1709545,0.18680179,-0.067472965,0.2018567,0.44107813,0.29291877,0.4973384,0.4920936,0.38290578,0.27802056,0.27969077,0.57143533,0.8248379,0.21500486,0.0033093393,0.1990144,0.32553285,0.23628831,-0.11290707,0.1505795,0.22677383,-0.03936632,0.37870562,0.18080702,0.5851861,0.019651726,0.33218807,0.121541604,0.63853794,0.4696374,0.4267157
35,30.939678,9.667681,3.6450424,2.2679093,2.4901447,1.7515126,-0.58497715,-0.050651193,1.0065672,2.085768,1.832036,1.54497,2.0836792,2.073478,0.91492224,0.67254543,0.27535564,0.048069537,0.42202586,0.1642518,0.70646834,1.0346298,0.3169921,0.2198875,0.952193,0.29585752,0.69651663,0.29122287,0.630598,-0.099662095,0.28333038,0.84296894,1.0395713,0.21973373,0.6050898,0.3580342,0.5135201,0.15488827,0.44456798,0.21357459,0.43024224,0.48104224,0.33382958,0.9735619,0.50214696,0.4831553,0.06397885,0.783848,0.63443005,0.29707885,0.13043806,0.26753455,0.2894584,0.28633112,0.4348374,0.47359067,0.3683163,-0.15540148,1.2558556,0.6437025,0.13784511,0.48306024,0.14984047,0.8029514,-0.024020463,0.36189073,0.80028677,0.37012815,0.3907496,0.023600906,0.63906884,-0.099874556,-0.04504797,0.42268628,0.7191806,0.36758715,0.14366205,0.394544,0.4460798,0.1118252,0.19218268,0.11239572,0.3617825,0.48798844,0.17468408,0.4265266,0.05392538,0.1902445,0.15174988,0.8837688,0.034169704,0.3821845,0.34343678,0.12160738,0.13385354,0.1675485,0.34947288,0.20479739,0.5349403,0.09823765
36,26.190014,10.186591,8.244753,2.0749202,1.2410856,2.4734578,0.6708721,1.4742044,0.817736,1.2055765,1.612704,2.2418938,1.3825473,0.13845348,0.72477186,0.43395668,1.5641202,0.3791504,0.41068265,0.69279015,0.26441514,0.656479,1.1730728,1.2662433,2.002704,0.13642862,0.53964865,-0.00983578,0.8117581,0.62198055,0.59121287,0.083700985,0.59431136,0.21558955,0.33588415,-0.17815697,0.10730165,0.37583292,-0.3799091,0.36352894,0.8360129,0.08940685,0.13988909,0.23728222,0.47543174,0.06482604,0.57865393,0.5162903,0.8799454,0.6784613,0.8017129,0.7863457,0.49639523,0.4005822,0.5995998,0.6420922,0.26648867,0.099873155,0.24517536,0.44976947,0.35557106,0.46465144,0.34536445,0.3208161,0.24009508,-0.19962516,0.4903853,0.36049926,0.12567684,-0.09133917,0.47780567,-0.0021989644,0.21560389,0.7196624,0.45956212,1.0113405,0.15657353,0.45590162,0.32874763,0.6644832,0.8145797,0.411858,0.08275482,-0.05522293,0.1346728,-0.18493474,0.36834997,0.19652687,0.28221053,0.2021784,0.19882917,0.2954185,0.41322228,0.26497194,0.27997357,0.1999228,0.42098758,0.55584383,0.59547627,0.122994386
37,32.164772,7.9984593,7.6800857,1.7195643,2.3890822,2.4169753,1.1802933,1.0079613,0.4084956,1.326478,1.1067326,1.7377459,1.8406118,1.1974823,0.34653133,0.5829574,-0.74833596,0.24617374,0.6177895,0.15438831,0.8761765,1.2133843,0.2992847,0.80586296,0.24827439,0.6315944,0.6081873,0.65241975,0.2632308,0.26941752,0.71319205,0.77062494,1.0480299,-0.093303174,0.5725154,0.14383814,0.5528422,-0.2459445,0.4382411,0.35949332,1.096451,0.5773813,0.44969964,0.37642834,0.39467722,0.6935694,0.302551,0.67915404,0.4920681,0.2851452,0.21101041,0.49238756,-0.29662427,0.14044921,0.68342626,0.51626325,0.31256902,0.100908,0.76640415,0.45988417,0.1768581,0.16488372,0.1956781,0.7283528,0.23841313,0.41190428,0.94113314,0.39442736,0.11664423,0.3456991,0.35872608,0.21615118,0.29427367,0.6328527,0.5953096,0.601361,0.20353207,0.068634346,0.50480974,-0.059560567,0.35787287,-0.06215498,0.32215407,0.1674327,0.15938857,0.24527483,0.26034796,0.1488263,0.017747208,0.4729743,0.33972436,0.1387636,0.32995725,0.12042719,0.14291146,0.5890905,0.44398236,0.4955411,0.31567252,0.13386664
38,30.64476,7.9194803,7.994362,0.8985634,0.7822647,2.4612012,1.6080003,2.1670966,0.53246176,0.755043,0.39198786,0.9342272,0.3354811,0.9085053,0.6278823,0.85506356,1.3132968,0.18034095,0.22226194,0.78816605,0.6031349,0.02598548,1.2298833,1.1859169,1.3763338,0.66207176,0.045052797,0.087073445,0.37331295,0.62095106,0.619249,0.024425536,0.19558114,0.0851202,0.013943136,0.96032953,0.07433793,0.2750218,0.31164095,0.19912988,1.1077445,0.016236007,0.14006314,0.0284895,0.4657945,0.1823056,0.86007404,0.5483215,0.86820316,0.6223296,0.6923144,0.39946565,0.3539903,0.56690764,0.5337341,0.34485075,0.09909111,0.32369503,0.541611,0.44186357,0.38521785,0.23552832,0.24317627,0.45364442,0.20814836,0.24911954,0.62635446,0.19679369,0.16211382,0.6097846,0.26532716,0.42251885,0.18360479,0.73657787,0.2691812,0.7449155,-0.041136235,0.23386493,0.2464712,0.39003062,1.0134118,0.37357333,0.17869301,0.14068027,0.21419154,0.21725954,0.33332607,-0.08038451,0.16143858,0.012238979,0.39614004,0.42364782,0.65133125,0.19517894,0.23939061,0.2596065,0.157788,0.86318386,0.40102476,0.49521816
39,33.08949,8.367387,11.521687,2.2647674,2.5225239,3.4717417,1.853484,2.0870256,0.72149205,0.9317112,0.8428768,2.0311885,1.7857083,0.9905891,0.3993308,0.68749523,-0.53609455,0.41406322,1.0657179,-0.3283931,0.8219423,0.5058756,0.15086806,0.11439532,0.32220277,0.7808062,0.1158914,0.8671959,0.77876264,0.43586263,0.7332392,0.6832295,0.75402987,0.24936411,0.5035749,0.2796291,0.015792847,0.08133829,0.76628673,0.79682016,0.090090215,0.4147884,0.49273998,0.50493884,0.08673489,0.7830984,-0.019038677,0.82894063,0.6316736,0.12883812,-0.04930219,0.08032802,0.25062394,0.35527825,0.49155244,0.23168674,-0.09881583,0.18738163,0.37468117,0.9697243,0.17876264,0.54523325,-0.30147302,0.40442067,0.3854251,0.565251,1.0987877,0.5955051,0.26237443,0.7608639,0.15052022,0.055801198,0.28132495,0.16725883,0.22258079,-0.16495797,0.18571642,0.31205073,0.3861699,-0.102221996,0.12379371,0.2766437,0.20179008,-0.09875348,0.3351735,0.34742948,0.27668732,0.15707712,-0.043323725,0.71566355,0.18303968,0.13155518,0.22185923,0.42691958,0.15252799,0.7823919,0.2502627,0.5827991,0.20523123,0.03038609
40,27.878452,9.37833,5.86689,1.9839766,1.3289268,2.2994604,1.4631312,2.6331234,1.8035998,1.4142246,0.6884799,0.73603827,0.84671307,1.6460303,1.0619779,0.6438677,0.8743547,0.13626713,0.32200006,1.0833348,0.5030056,0.7000455,1.4825802,0.28792003,1.6570199,0.13729665,0.33709896,-0.14532381,0.43477565,0.71147203,0.5640223,0.26776505,0.4032032,0.16391939,0.4927867,0.9377818,0.15182874,0.2831493,0.1042926,0.3197341,0.41533715,-0.13071644,0.13439101,0.62352896,0.8574033,-0.27208132,0.73329586,0.28559923,1.3397434,0.5324775,0.89976466,-0.12669677,0.4811794,0.857972,0.37305313,0.39138994,0.15252537,0.40937054,0.77522516,0.38922474,0.11465272,0.37065333,0.08789474,0.45786834,-0.058623344,0.110662475,-0.09169376,0.19929716,0.20681423,0.4397016,0.8702966,0.22382823,-0.13383153,0.6056839,0.5420441,0.3553738,0.10457496,0.48496526,0.022360116,0.32624656,0.66213655,0.44127458,0.22431451,0.22369474,0.38438386,0.30881995,0.2816486,-0.005050555,0.17334494,0.21975884,0.30999488,0.7154471,0.45162746,0.30805936,0.32200775,0.033729553,-0.0065003484,0.848872,0.39236307,0.29715323
