,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,516.0004,3519.998,1757.0,99.99963,321.00092
5,884.00073,4598.0,1435.0006,101.000244,207.00067
6,1335.0,2804.0005,1476.0004,122.00037,340.00092
7,1569.0005,2990.0015,1024.9999,183.99915,348.0004
8,2111.0,2648.0005,728.00055,279.9994,557.0001
9,1534.9998,1280.0009,1319.0,262.99976,559.9999
10,575.99963,602.0016,1451.0,410.9994,745.9998
11,137.00027,411.00116,1519.9999,647.00055,885.0
12,304.00027,431.00128,1508.0,622.00055,1084.0
13,320.00024,324.99963,1511.0004,831.00006,1311.9999
14,414.00024,436.0005,910.00037,1557.9994,965.99994
15,419.99994,407.00085,328.00024,1485.9995,960.99994
16,371.0005,536.99963,958.00055,1835.9998,599.99976
17,137.99908,334.00012,230.99951,988.0,213.99915
18,242.99908,845.99945,726.99854,2125.0005,313.99884
19,241.99957,509.99884,1393.9988,2477.9995,337.9988
20,301.00043,429.9989,1399.9995,2824.999,521.99963
21,316.00113,536.00055,1171.0,2174.0,556.9999
22,279.0001,532.9997,1409.9999,2324.0005,466.00006
23,250.99948,531.99915,1604.0,2093.9998,552.00024
24,286.00003,642.9994,810.99927,2189.9998,536.99963
25,267.99997,850.9994,2018.9999,2697.0015,1035.0
26,378.99945,1135.9994,1479.9996,2744.0,1396.0002
27,436.99994,988.9999,2298.0,2159.0,1235.9994
28,607.9997,1555.9995,1658.0005,2530.0,1480.0005
29,719.0001,1257.0001,2009.0,2408.0,1299.0
30,629.99976,1051.9995,2683.9998,2449.0,1585.0001
31,894.99976,1620.9993,2083.0002,2602.9995,1330.0002
32,671.0002,1711.9996,1759.0005,2556.9998,1342.0005
33,530.00006,1285.999,2001.0006,3014.9998,1474.0006
