,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
50,51.741806,14.116164,19.356728,4.575603,2.4801059,5.3033695,3.096608,3.846726,2.2849712,2.3914318,2.5173445,2.9701977,1.9707518,1.623357,0.9025152,0.6253361,1.961717,0.40146637,0.4508928,2.401747,1.4951948,1.9048085,1.882501,0.6571324,1.1460809,0.29600126,-0.13498229,0.65422815,1.8936453,0.7721634,0.3968239,1.0884949,0.67896736,-0.11445418,1.1049672,-0.19690558,1.0036361,0.5737787,1.1333102,1.2774034,1.9968517,0.20544237,0.67169523,1.1511409,0.6765759,0.87112993,2.0698485,0.1039404,0.63807034,0.16746894,0.8248343,0.9360434,0.6276443,0.9260131,0.067549944,-0.9155466,-0.85171926,-0.22131798,0.31743208,1.1840186,0.114428006,-0.23402235,0.4139861,-0.107512504,0.67349046,1.4504849,1.6313444,0.034478903,1.2499138,0.8197942,1.2392892,0.7590776,0.9583759,1.3077503,0.1959832,0.5937511,0.74892527,0.2814318,-0.04710202,0.33939552,0.8428744,0.057815775,0.04610479,-0.14266403,0.29166126,1.0801398,0.30031434,1.0937262,-0.43192786,0.17336413,0.94578063,0.28071275,0.6770094,0.9069391,-0.026792616,-0.008851796,-0.02641356,0.7989704,0.7068281,0.90776706
51,50.571438,13.916428,19.493801,4.519716,2.4182143,5.233885,3.0800066,3.8424525,2.331789,2.4578323,2.497816,2.9663658,2.0055761,1.4990947,0.8622701,0.5706467,1.9632047,0.38487577,0.45820177,2.4564316,1.465561,1.8884692,1.8840593,0.7091706,1.1701688,0.26495248,-0.20871657,0.6817903,1.8971891,0.80402374,0.3852673,1.0976392,0.66616905,-0.14735022,1.0751745,-0.21763465,1.0576103,0.5664087,1.115364,1.2808466,2.0864856,0.18575281,0.6638217,1.1336763,0.7208878,0.8818683,2.11342,0.1036562,0.6738293,0.17335597,0.88340324,0.96684134,0.6526878,0.9227344,0.014838457,-0.9502203,-0.8953918,-0.24269554,0.2832488,1.2138839,0.1096501,-0.23397276,0.44890773,-0.16800883,0.70266527,1.4647747,1.7017409,0.0073564053,1.2476755,0.8152795,1.3205112,0.75563294,0.98333114,1.3442217,0.16345909,0.59532654,0.7802554,0.3026644,-0.07813458,0.3623047,0.84517276,0.039114222,0.017635703,-0.16710098,0.27278996,1.046719,0.29565516,1.1330833,-0.4390003,0.17483279,0.9720181,0.26188532,0.7203215,0.90156513,-0.020080894,-0.01738526,-0.01343596,0.8323762,0.7404432,0.92546916
52,49.965855,12.94148,19.579327,4.404651,2.1948962,5.127863,3.1528509,3.837232,2.2646008,2.311489,2.4670286,2.8503704,1.9932814,1.5023813,0.8183744,0.5707764,1.9234327,0.35661495,0.37877214,2.4694254,1.4640142,1.8208814,1.9382261,0.7267201,1.1933144,0.24470596,-0.24149626,0.6632022,1.8181257,0.7656326,0.34574893,1.0935699,0.6174668,-0.16377822,1.096573,-0.1939263,1.0762508,0.5315843,1.1240367,1.2557545,2.1071784,0.18372911,0.63043547,1.0945213,0.7658756,0.88354677,2.1530147,0.09854832,0.6320164,0.13903418,0.91129726,0.9687182,0.617707,0.9108211,-0.025349379,-0.9814884,-0.901749,-0.28610298,0.26192608,1.1717143,0.079969846,-0.23163053,0.480564,-0.23958495,0.7306289,1.4759747,1.7327276,-0.0499537,1.2255398,0.836041,1.3339194,0.8094812,0.97427887,1.3373886,0.19111183,0.58143437,0.7204371,0.30429327,-0.11206822,0.37828445,0.8422183,0.050981745,-0.010764718,-0.15148361,0.22383595,1.0623075,0.3154663,1.1338224,-0.46123618,0.1316733,0.9577626,0.19342104,0.71143323,0.9132953,-0.0019150674,-0.032880202,0.0033792257,0.86075944,0.7202177,0.9187248
53,48.146324,12.549699,18.705872,4.3104815,2.0192409,4.970888,2.788473,3.652758,2.3768368,2.3508396,2.4656792,2.8709698,2.14178,1.3927488,0.7391889,0.51318973,1.8402036,0.29211444,0.32339036,2.4341042,1.3726512,1.8827443,1.8915399,0.8126633,1.2558964,0.15304928,-0.28896636,0.69529814,1.8609877,0.823719,0.340004,1.1335808,0.6281098,-0.20852843,1.063841,-0.2560372,1.1884048,0.50327164,1.0429934,1.1908045,2.1881416,0.114536226,0.5678439,0.98790574,0.8307495,0.8674182,2.2901607,0.12830868,0.669328,0.14009848,0.944261,1.019858,0.67271495,0.8792888,-0.078808546,-0.98633784,-0.963446,-0.33185455,0.25951377,1.1407104,0.07174154,-0.22938749,0.5150565,-0.33572486,0.75226396,1.476936,1.882878,-0.103456736,1.2120968,0.80571985,1.4765333,0.7693277,1.0422668,1.4473997,0.12778404,0.5572263,0.73552424,0.350289,-0.11249928,0.38254356,0.8312148,0.07126258,-0.018188119,-0.19511993,0.154706,0.96052134,0.31011358,1.2519054,-0.47190398,0.1543555,0.99096954,0.12531152,0.77521116,0.9088393,0.02406779,-0.03180188,0.037818313,0.91793686,0.79005337,0.9498012
54,47.862064,12.759406,17.651455,4.2586436,2.0190673,4.950802,2.2189941,3.112579,2.477045,2.3330536,2.5386333,3.0384617,2.2574492,1.0712969,0.6555517,0.5134949,1.5081762,0.050764203,0.46519792,2.2015045,1.1721109,2.0246568,1.6433252,1.0153382,1.3156651,0.1180294,-0.43625945,0.76311773,1.8497972,1.1143875,0.45988086,1.289435,0.6897057,-0.31660643,0.8823186,-0.37076423,1.3687999,0.4811121,0.7992848,1.1231713,2.2708957,0.09239572,0.5416293,0.733876,0.8671591,0.8787593,2.260839,0.25275365,0.8768132,0.3387641,1.0450635,1.1584688,0.8335197,0.9986812,-0.051449537,-0.97463816,-1.0105728,-0.29347202,0.39373294,1.2715907,0.07907339,-0.17334959,0.4733504,-0.41297916,0.6310443,1.4722077,2.1277966,0.009769201,1.1252877,0.6973691,1.4063276,0.527968,1.1488452,1.7035042,0.034999162,0.47056022,0.86364084,0.5079237,0.03422351,0.37488174,1.0300883,0.06217216,-0.16587794,-0.2669888,0.11267949,0.6965014,0.3225409,1.3072586,-0.5096287,0.4132323,0.9897183,0.047794968,0.94742185,0.8180552,0.042153984,-0.10904159,0.020354629,0.9889845,1.0088072,1.1801212
55,47.694168,13.525682,16.65473,4.29351,2.1351066,4.9949436,1.6760455,2.7106588,2.6306324,2.432949,2.6109896,3.2314491,2.4041586,0.7992391,0.6207998,0.49473423,1.3043875,-0.1144042,0.60349596,2.0174367,1.0057758,2.1778111,1.442882,1.1707604,1.3819646,0.08527164,-0.53034896,0.82921976,1.9078798,1.3489189,0.5757962,1.409206,0.77248085,-0.39389792,0.75260746,-0.46506354,1.5147617,0.48022708,0.6192025,1.0752501,2.3414066,0.065345705,0.5169711,0.5637672,0.86872935,0.8784084,2.246366,0.35767117,1.0825322,0.4980773,1.1106486,1.2661425,0.99193263,1.0776836,-0.04341197,-0.9416048,-1.0611938,-0.24239513,0.50089586,1.3910804,0.10633703,-0.1354315,0.43082035,-0.44948295,0.5419788,1.445213,2.3249822,0.10270476,1.0740505,0.60575724,1.3772377,0.3232103,1.2477169,1.9089676,-0.061024398,0.4270536,0.996831,0.61722815,0.15991016,0.36242867,1.1731852,0.0508921,-0.2746941,-0.3487721,0.0993929,0.48749247,0.31511512,1.3701963,-0.52102536,0.64494085,1.0013264,0.02432695,1.0900916,0.73330027,0.048168093,-0.15248923,0.009761214,1.0379767,1.195674,1.3521965
56,48.230038,13.764703,16.48075,4.426746,2.1358294,5.0694637,1.6332604,2.9020107,2.7380848,2.5073051,2.6519327,3.234291,2.5475225,0.93150467,0.6750028,0.4703068,1.4773344,-0.054640412,0.48485887,2.0690405,1.0395433,2.225371,1.5891451,1.1257775,1.4593495,0.038581654,-0.44701308,0.8042945,1.9925432,1.2279701,0.5417691,1.3947297,0.782277,-0.3625354,0.88959134,-0.42774054,1.515271,0.47796497,0.72112453,1.0730319,2.363572,0.04077524,0.4484744,0.6513002,0.848912,0.84728426,2.3663554,0.34016553,1.0733922,0.4128379,1.0589414,1.2472407,0.99051356,1.0190612,-0.12251735,-0.932975,-1.1105274,-0.2670152,0.46689883,1.3302894,0.09877058,-0.18743345,0.44430912,-0.4735861,0.61441797,1.4183193,2.349873,0.013730764,1.1290251,0.6491456,1.4752825,0.43360382,1.253087,1.8684222,-0.041561812,0.46957126,0.9617415,0.5425621,0.118267015,0.34529686,1.0926741,0.07259582,-0.21960032,-0.3832379,0.091008194,0.5929574,0.312565,1.4255066,-0.5162594,0.58103514,1.0352925,0.015213639,1.0541953,0.7652388,0.059316546,-0.11502524,0.0427469,1.055135,1.1556463,1.293679
57,47.98485,14.079413,16.766027,4.446159,2.2006373,5.1187286,1.6725248,2.9652023,2.764265,2.5883846,2.6355247,3.2447243,2.5525503,0.85267395,0.69033027,0.44324917,1.5348295,-0.024752975,0.5309175,2.113156,1.0448755,2.1978831,1.6061319,1.1349499,1.4803971,0.05346851,-0.47644728,0.81942266,2.0188475,1.2419052,0.56098753,1.3751899,0.7941636,-0.3712062,0.8925439,-0.4165673,1.5195377,0.48945484,0.75189674,1.0880919,2.3892047,0.045858324,0.46209288,0.68121934,0.8370811,0.85924715,2.361236,0.34394398,1.1112607,0.40686598,1.0898824,1.2408911,1.0045211,1.0044185,-0.15882564,-0.9380171,-1.1189274,-0.25092575,0.44657508,1.3665061,0.125895,-0.17416593,0.45440662,-0.46829036,0.63780206,1.407169,2.3476682,-0.0012247562,1.1330992,0.65873957,1.4957632,0.43223816,1.2650437,1.8618523,-0.05986473,0.51018536,0.9864245,0.53254473,0.10484691,0.3658123,1.0964278,0.058328852,-0.265144,-0.39173704,0.10514546,0.59697664,0.29265872,1.42202,-0.5005407,0.6101794,1.0317391,0.057257324,1.0619506,0.7441202,0.040742546,-0.108138114,0.04492891,1.05193,1.1663847,1.2758911
58,47.887554,14.114763,16.562284,4.433292,2.214868,5.09383,1.5828267,2.8578525,2.7814236,2.5923843,2.6516886,3.284626,2.559863,0.8073837,0.6716955,0.44384998,1.4657072,-0.071754694,0.5560106,2.0723817,1.0087217,2.2352386,1.5435499,1.166652,1.4674958,0.044047162,-0.49749678,0.83276933,2.0121794,1.2943268,0.57371527,1.4091312,0.8027543,-0.38687506,0.8438817,-0.44672248,1.5458934,0.487002,0.69156826,1.0836806,2.4051025,0.04022783,0.4631381,0.6375959,0.8492954,0.8587398,2.341951,0.35567418,1.1411145,0.454008,1.0996718,1.2719637,1.0329826,1.0370551,-0.1343391,-0.9370472,-1.1266922,-0.24633,0.4704999,1.3933654,0.11615988,-0.17523405,0.4426669,-0.47540763,0.6047115,1.4153534,2.3849378,0.038253546,1.1204945,0.631268,1.4801358,0.38450104,1.275166,1.9063984,-0.07439491,0.47754636,1.0166368,0.5667988,0.13265796,0.35697746,1.1272849,0.05186294,-0.26219332,-0.4055043,0.10298634,0.54486024,0.3001155,1.4297848,-0.51066107,0.64141035,1.0426167,0.03823152,1.0970687,0.7371593,0.049434334,-0.124590084,0.034980178,1.0617977,1.2041464,1.3278568
59,48.13855,14.086057,16.689224,4.421249,2.2240996,5.1104336,1.601266,2.8048697,2.7567081,2.5612564,2.6570902,3.2938194,2.5309095,0.76102203,0.663574,0.45561832,1.414018,-0.10574967,0.5946001,2.0497067,0.9954435,2.229075,1.512916,1.1903393,1.4617814,0.060531422,-0.5303413,0.83835405,1.9831495,1.3373032,0.59182173,1.4275242,0.80082786,-0.40215293,0.8115064,-0.45289466,1.5562065,0.48605976,0.66492355,1.0882568,2.4108589,0.054727495,0.47686338,0.6097696,0.85149,0.87051576,2.3049808,0.36999646,1.1639798,0.48924437,1.1239247,1.2874075,1.0430954,1.0694457,-0.12083125,-0.945409,-1.121281,-0.23476478,0.48992625,1.4266982,0.11606642,-0.1611006,0.43436038,-0.47832873,0.58090585,1.4220196,2.3982816,0.06695914,1.1034847,0.62138414,1.4355611,0.3532663,1.2779808,1.9286782,-0.07491371,0.464646,1.0330534,0.59026206,0.15202518,0.36117935,1.171255,0.042997584,-0.29750407,-0.40310103,0.10611821,0.5188211,0.30613604,1.4092026,-0.51950735,0.6780505,1.0328931,0.03262773,1.1158179,0.72291857,0.047317654,-0.14417718,0.024203658,1.0658121,1.2271109,1.3647811
60,48.868256,13.906941,17.032755,4.4160876,2.2155528,5.166977,1.7142762,2.7962046,2.6859608,2.4612865,2.659275,3.2545605,2.4785452,0.7274923,0.676399,0.48596615,1.379167,-0.1385414,0.6243547,2.0221841,0.9974367,2.1808457,1.5268892,1.202205,1.4729584,0.09942894,-0.5625717,0.8254232,1.9169378,1.3507538,0.6112748,1.4358917,0.78706825,-0.41409865,0.8131677,-0.41906974,1.5477569,0.4784151,0.674693,1.0949202,2.3985584,0.09376329,0.48319578,0.5961511,0.83786905,0.885065,2.2394462,0.3871378,1.188245,0.5141448,1.1520658,1.2893435,1.0362175,1.1056663,-0.12510753,-0.95487803,-1.1035751,-0.21538612,0.51074016,1.4619422,0.11459585,-0.14352629,0.42230403,-0.48438933,0.5621986,1.4155308,2.391995,0.083389044,1.0761591,0.6301751,1.3377532,0.35292298,1.2627501,1.9190804,-0.04504463,0.4668018,1.0232,0.5944058,0.16820712,0.37124825,1.2314566,0.03373359,-0.37128413,-0.39175993,0.11158467,0.53100526,0.3191482,1.3496313,-0.53116745,0.7209735,0.9977864,0.023911148,1.1147536,0.698957,0.041879326,-0.17166643,0.012458205,1.0674136,1.2312765,1.3946483
61,48.60549,13.900455,16.82949,4.4274936,2.1957984,5.131153,1.6787583,2.8401713,2.7192745,2.4966488,2.6608276,3.257553,2.512721,0.8008806,0.675884,0.4744305,1.4220861,-0.10734773,0.5717195,2.0463774,1.0118808,2.2066264,1.5493368,1.1759884,1.4673833,0.07193451,-0.5201523,0.8203401,1.952426,1.306633,0.58372504,1.4242955,0.787114,-0.39581862,0.8394338,-0.42700812,1.5399692,0.47925815,0.6893014,1.0903773,2.39548,0.07052606,0.4691882,0.620168,0.84475935,0.8702411,2.2916942,0.36700764,1.1498501,0.47859564,1.1180472,1.2786261,1.024369,1.0752136,-0.12549281,-0.94924563,-1.1129287,-0.23629162,0.49190798,1.4173789,0.1065106,-0.16522428,0.43118083,-0.48227885,0.58298486,1.4193283,2.383473,0.058936834,1.100165,0.63594866,1.3994201,0.38328797,1.2612162,1.9045321,-0.04676506,0.46563497,1.0072565,0.57628405,0.14810176,0.3599949,1.1770037,0.046135172,-0.3067757,-0.39387327,0.10490132,0.55270565,0.3166851,1.3841505,-0.5266022,0.6662307,1.019946,0.01978746,1.09774,0.72659975,0.04974571,-0.15019955,0.023215652,1.0653474,1.2071524,1.3614414
62,48.48775,13.826298,16.739862,4.4142566,2.182119,5.1135693,1.6702443,2.8308797,2.7088985,2.4776917,2.6538706,3.2404728,2.5102072,0.80987376,0.67745185,0.4777302,1.4193662,-0.10587877,0.56072557,2.0351436,1.0096637,2.199844,1.5493807,1.169738,1.4655141,0.070939824,-0.51041716,0.8153915,1.9441938,1.2940025,0.5799733,1.4189869,0.7860192,-0.3917121,0.8448354,-0.41911933,1.5330455,0.47556934,0.6895865,1.0836616,2.3826873,0.07050508,0.46247435,0.61801934,0.8422611,0.8645267,2.2847896,0.36487523,1.1445591,0.47433272,1.1096396,1.2734133,1.0197189,1.069131,-0.12472224,-0.941004,-1.1066421,-0.23675033,0.49203625,1.4070258,0.10380217,-0.16730711,0.4292525,-0.48024085,0.58186907,1.411966,2.3742032,0.056401968,1.0955168,0.63550043,1.3906597,0.38871247,1.2539511,1.894344,-0.04069969,0.46468893,0.9962893,0.5711905,0.14889331,0.3577118,1.1707762,0.049103007,-0.30271113,-0.39221007,0.10228825,0.5557083,0.31799427,1.3785725,-0.52436966,0.66149855,1.0140237,0.016136795,1.0909461,0.72515064,0.052110106,-0.14869978,0.023932815,1.0619141,1.1996145,1.3548763
