,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,597.62775,1325.9232,1493.5427,1462.4325,811.30853
5,675.22894,1510.2125,1689.0592,1601.1381,907.41956
6,570.1632,1254.2183,1424.254,1445.5939,783.59595
7,516.1006,1124.2393,1287.8308,1356.844,718.2362
8,593.33215,1315.9027,1482.5311,1453.8418,805.86115
9,501.54572,1080.428,1251.3862,1375.969,708.69995
10,591.4327,1289.0646,1478.1185,1560.3485,824.468
11,486.37607,1044.8695,1213.1299,1346.6425,689.5259
12,550.92267,1194.9861,1376.047,1477.7589,772.4223
13,490.7244,1051.3468,1224.5406,1371.2246,697.6208
14,489.51352,1054.7229,1221.0565,1340.6578,691.23505
15,-20.47017,-390.34933,-56.427277,1535.7146,261.3527
16,372.32925,675.2284,929.04193,1609.5087,633.1527
17,721.9385,1376.642,1813.997,2856.6262,1181.8689
18,404.36655,762.1827,1008.877,1622.6052,666.36383
19,451.9983,929.1617,1127.4126,1449.7908,677.6154
20,580.39215,1255.0006,1450.4698,1578.741,817.93195
21,466.4454,907.17615,1165.8542,1742.806,744.3371
22,512.26196,1069.7375,1279.0482,1572.2256,755.53937
23,639.4936,1393.8392,1599.4385,1691.9124,892.5724
24,57.66038,-178.76743,139.5905,1552.003,335.61346
25,692.2454,1509.8383,1732.7335,1831.7181,966.45856
26,647.5531,1390.5347,1620.7744,1811.076,921.27405
27,642.8066,1409.2185,1607.7188,1661.7322,889.97174
28,687.6858,1528.962,1720.5604,1676.6824,932.99713
29,795.7241,1781.3403,1993.125,1890.4553,1070.6566
30,706.5559,1560.2418,1768.3734,1776.6177,968.8892
31,761.94556,1697.8304,1908.0359,1846.474,1032.0208
32,666.62665,1473.0372,1667.6614,1667.9327,912.3731
33,785.7434,1758.935,1968.255,1866.401,1057.0131
