,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,515.9987,3519.9983,1757.0007,99.99988,321.00037
5,884.00006,4598.003,1435.0009,101.00037,207.0003
6,1335.0,2804.0012,1476.0015,121.99963,340.00085
7,1569.001,2990.0022,1025.0005,184.00061,348.00076
8,2111.0,2648.0005,728.0003,280.00024,556.9999
9,1535.0002,1279.9995,1318.9999,262.99963,560.0003
10,576.0009,602.0005,1451.0004,410.99988,746.00024
11,137.00021,410.9997,1520.0007,647.00024,885.00073
12,304.00055,430.99896,1507.9999,621.99994,1084.0002
13,319.9998,324.99945,1510.9996,830.9993,1312.0001
14,413.99985,435.9989,909.9999,1557.9999,965.9999
15,420.00082,407.00055,328.00012,1486.0001,961.0
16,371.00104,536.9986,957.999,1836.0,599.9999
17,137.99997,333.99817,231.00012,988.00037,213.99927
18,242.99982,845.9979,726.9981,2124.9998,313.99945
19,241.9996,509.99945,1393.9996,2478.0,337.99997
20,300.9993,429.99792,1399.9995,2825.0,521.99963
21,316.0,535.99976,1170.9998,2173.9995,556.99994
22,278.99948,532.9998,1409.9999,2323.9993,465.9999
23,250.99985,531.9996,1603.9991,2094.0,551.9999
24,285.99976,643.00037,811.0,2190.0002,536.9999
25,267.99872,850.9986,2018.9995,2696.9995,1034.9999
26,378.9995,1136.0005,1479.9998,2743.9995,1395.9998
27,436.9996,988.9984,2297.9995,2159.001,1235.9999
28,608.00055,1556.0005,1658.0002,2530.0,1480.0002
29,718.99963,1257.0004,2009.0005,2407.9995,1299.0
30,630.0002,1052.0017,2684.0,2449.0002,1585.0002
31,894.9997,1621.0005,2083.001,2603.0005,1330.0005
32,670.9995,1712.001,1759.0,2556.9998,1342.0
33,529.9997,1285.9991,2000.9998,3015.0007,1473.9996
