,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
50,29.663626,9.761189,10.5297985,2.253116,1.4033294,2.375828,1.5393473,1.3308866,1.2817905,0.76745784,1.0324649,1.5235276,1.2563778,1.5468124,0.6695678,0.7743365,0.96681076,0.7153528,0.3872089,1.1004977,1.0457561,0.9776555,0.36549905,0.7833628,0.84812176,0.21994065,0.6262485,0.65528464,0.68512523,0.57220745,0.19252291,0.051853,0.5972622,0.14705493,0.9488375,0.8659557,0.3280856,0.25282985,0.60884964,0.47248524,0.6854456,0.39265808,0.76273584,0.30101115,0.6402331,0.08604342,0.46889573,0.25730956,0.58022666,0.33161035,0.33309674,0.65268403,0.62312543,-0.049657162,0.3681583,0.77018553,0.37960207,0.36331376,0.5953045,0.686849,-0.17106457,0.33969733,0.2659017,0.60528797,0.17319179,0.23484059,0.38999957,0.58197385,0.14839152,0.6669564,0.18427956,0.5347077,0.2936845,0.25514317,0.44494286,0.5407009,0.16263634,0.25286028,0.14245847,0.41813445,0.6023385,0.5626123,0.10575044,0.35338578,0.6809026,0.25283784,0.32215774,0.2758565,0.2995455,0.3311865,0.3787622,0.22367918,0.2875434,0.00037365034,0.3772071,0.6696467,0.44475898,0.37405187,0.5797485,0.32730767
51,29.623775,9.443486,10.368816,2.3364038,1.4097228,2.4366987,1.5216985,1.3679295,1.2481563,0.8258062,1.0683589,1.5367361,1.2138493,1.4823908,0.68903697,0.80605376,1.0680695,0.67915136,0.38690296,1.1241835,1.0434062,1.0548204,0.36175603,0.74410295,0.75884116,0.1983895,0.5475399,0.6745336,0.69535446,0.5874841,0.25274417,0.09237037,0.6250094,0.23806888,0.96197397,0.74892265,0.334787,0.21502957,0.63760626,0.48063743,0.6064217,0.45692492,0.78222513,0.35405415,0.624165,0.17565058,0.46593514,0.3209973,0.47492653,0.34733775,0.2663703,0.63768536,0.5898822,0.0059163887,0.369449,0.7921485,0.4535136,0.32004943,0.5680222,0.6655446,-0.08549395,0.30322766,0.2699679,0.5987109,0.1813233,0.26176298,0.39308268,0.5219371,0.13207257,0.6312563,0.2559892,0.46659333,0.2989483,0.30051216,0.40933105,0.4826398,0.17858352,0.2529167,0.21889779,0.3717299,0.5633754,0.45361727,0.18300581,0.3465202,0.587827,0.31947196,0.31255555,0.21920912,0.2824879,0.3069333,0.32011083,0.2291365,0.24259841,0.016215801,0.35608768,0.683599,0.4018398,0.37918624,0.502764,0.33556163
52,29.580915,9.381486,10.2354555,2.358639,1.3177302,2.3440082,1.4488689,1.3208557,1.269475,0.79982066,1.0190562,1.5023352,1.227049,1.5371125,0.6847213,0.88608843,1.1513138,0.65770847,0.38336545,1.1853307,1.0659347,0.9955916,0.32803962,0.8050725,0.7914178,0.15469708,0.54439133,0.67852783,0.7402984,0.5429781,0.23677751,-0.013502881,0.6398394,0.17868738,1.0500797,0.79887384,0.39467943,0.21260896,0.648039,0.449474,0.6365031,0.418343,0.8382848,0.3613134,0.6628754,0.13536632,0.4752769,0.34918875,0.5046205,0.3657744,0.24581158,0.7179739,0.6268354,-0.015089902,0.35412526,0.86793756,0.5286201,0.34697133,0.62886244,0.66475666,-0.108853966,0.25725022,0.2988388,0.64415926,0.21684304,0.22973448,0.4016918,0.47873196,0.11435876,0.66986364,0.33463743,0.5305208,0.32922825,0.2265907,0.4448211,0.53953457,0.12294766,0.28893775,0.25214392,0.40078524,0.5987579,0.5175962,0.14292528,0.3682079,0.6257438,0.36713934,0.25556663,0.21451363,0.3283109,0.33452255,0.3530076,0.19227928,0.21085915,0.009799004,0.3392562,0.7064795,0.45811826,0.49124512,0.5369512,0.3767143
53,29.578247,9.485858,10.271939,2.339686,1.3035253,2.3395927,1.492335,1.324975,1.2868167,0.7894442,1.0138799,1.4952236,1.2454093,1.5348201,0.6674169,0.89580774,1.1113914,0.6650587,0.363447,1.1617303,1.0583987,0.97431815,0.3220224,0.8146713,0.797337,0.16874947,0.54976195,0.6633692,0.76268137,0.5353209,0.24103522,-0.040265143,0.6018079,0.16854924,1.0354326,0.8311303,0.38509643,0.2451542,0.6522769,0.4528984,0.6422221,0.39791602,0.80545056,0.32973835,0.64437026,0.12938957,0.47348467,0.33683434,0.53367716,0.35850286,0.26629,0.7111176,0.6298078,-0.03057978,0.35670525,0.8170154,0.51169425,0.36605632,0.64255387,0.63293874,-0.12027055,0.26478603,0.31629348,0.63842726,0.22709413,0.24592789,0.42772853,0.47727534,0.14251539,0.6493303,0.31556082,0.53782225,0.32185876,0.22111276,0.45296648,0.54881746,0.09029965,0.28559887,0.22173235,0.41599214,0.5862878,0.52186596,0.119996965,0.37336925,0.64357346,0.35750782,0.25762928,0.19073012,0.338582,0.33039805,0.37850472,0.18550359,0.19395182,-0.0048246067,0.3459019,0.6838448,0.46716017,0.49887863,0.54488593,0.38854793
54,29.806301,9.345973,10.1268215,2.3493264,1.2924775,2.367138,1.4743329,1.332161,1.2821037,0.7870506,0.990632,1.5058669,1.2319704,1.5132738,0.66560537,0.9152883,1.0878971,0.6419193,0.35795802,1.1318867,1.0320598,0.98299384,0.32691145,0.8152116,0.793255,0.18174544,0.55632484,0.65337014,0.77038306,0.51421535,0.25960544,-0.052528515,0.6084863,0.16670598,1.0050027,0.8383947,0.38897824,0.25819752,0.67232394,0.44200927,0.64711654,0.37859753,0.80747604,0.32794577,0.6472572,0.152238,0.4769645,0.33892024,0.5451598,0.37462845,0.28508133,0.6912141,0.6063208,-0.012673688,0.36951804,0.8172639,0.5161627,0.35643223,0.6476175,0.61370975,-0.10480553,0.25396994,0.3158699,0.64699095,0.2240342,0.23994684,0.43971542,0.46710598,0.1498852,0.63727146,0.32113692,0.5414398,0.3386727,0.22496851,0.462948,0.56264937,0.08467026,0.29078567,0.25000945,0.39825994,0.57762957,0.5186028,0.12100467,0.38114202,0.6316222,0.3789429,0.24611592,0.18475597,0.32186005,0.316153,0.36746636,0.20531633,0.1923734,0.015842512,0.33728814,0.6572962,0.47068286,0.4908642,0.5300806,0.3963698
55,29.772959,9.321958,10.022659,2.3387432,1.2776703,2.3647032,1.461184,1.30566,1.2603134,0.76729405,0.99807554,1.5072,1.2400304,1.5128981,0.67246646,0.9316858,1.0895399,0.63748217,0.35806793,1.1293068,1.0135822,0.9785303,0.33386037,0.82878,0.79278445,0.17841023,0.5675411,0.6645556,0.7949897,0.50677055,0.26321876,-0.055009738,0.62238604,0.17227761,1.0062317,0.84536964,0.3848166,0.26677528,0.6581092,0.43764472,0.65752816,0.3583024,0.798694,0.31568697,0.6687697,0.14859371,0.4606585,0.3377341,0.5570621,0.37177444,0.2936166,0.6973705,0.6095864,-0.004347003,0.36980492,0.8246411,0.51071143,0.35275003,0.6456488,0.6117538,-0.11366756,0.25180763,0.2845568,0.6404496,0.22371204,0.24656786,0.44568887,0.46158728,0.14407852,0.6334827,0.3043741,0.53567773,0.34452158,0.23061861,0.4649632,0.5709003,0.075204045,0.30533472,0.24454087,0.3841938,0.5762678,0.5353481,0.10056506,0.38590857,0.643346,0.3780567,0.23298395,0.21211512,0.3320496,0.32315502,0.37655997,0.196107,0.19924915,0.017864589,0.3311224,0.65293986,0.4738452,0.4855655,0.53767574,0.3919648
56,29.776615,9.376145,9.954015,2.3251715,1.2800015,2.3592935,1.4375737,1.2990508,1.2556024,0.7709616,1.0013969,1.512789,1.2470788,1.5192344,0.6894939,0.932789,1.0885574,0.6333588,0.35746711,1.1282238,1.0109825,0.9840906,0.33767015,0.82626444,0.8003649,0.19460684,0.58531815,0.6600897,0.79960656,0.5134361,0.26645133,-0.045040496,0.6256902,0.17454685,1.0017433,0.8468194,0.38756615,0.2719678,0.64667284,0.43595424,0.6727973,0.34231392,0.7977471,0.30977735,0.6793407,0.14171144,0.46374372,0.32830635,0.5734854,0.37300143,0.3002239,0.69612944,0.6096179,-0.004142346,0.37358186,0.83059436,0.49613705,0.34953293,0.6539264,0.62038416,-0.11848983,0.25163937,0.2762152,0.635038,0.21264054,0.24270868,0.45151153,0.46641847,0.1588122,0.626869,0.29415718,0.53463036,0.33970523,0.23679623,0.4704053,0.56896424,0.080164924,0.31542256,0.24072567,0.3760711,0.5781745,0.55347717,0.10363568,0.3937735,0.6520227,0.37393367,0.22919336,0.23186845,0.32513794,0.31531724,0.38697773,0.20419496,0.2153714,0.020257484,0.34064084,0.6512261,0.46926844,0.47385728,0.54719204,0.38715044
57,29.907772,9.357672,9.867664,2.322829,1.2730316,2.3617291,1.4080874,1.2859288,1.252202,0.7713653,1.0030655,1.5173713,1.2559481,1.5273029,0.69783115,0.94334,1.0891867,0.6234136,0.35026062,1.1310055,1.0057019,0.9916786,0.34496766,0.8319358,0.7944283,0.1947808,0.58127296,0.6626295,0.80859774,0.52177596,0.26576838,-0.03813,0.63603324,0.18584965,1.0098091,0.8383873,0.38822657,0.27722934,0.642454,0.43846792,0.6781307,0.337809,0.7951964,0.30830622,0.6880842,0.14356391,0.46127844,0.33305314,0.5684497,0.37074637,0.30306238,0.6980935,0.614413,0.0065442445,0.3763001,0.8343595,0.4954554,0.34354353,0.66259634,0.6185755,-0.11303139,0.2536919,0.2681834,0.6360744,0.20742454,0.24822238,0.45663133,0.4583402,0.16284555,0.61665016,0.2897659,0.5325663,0.33832276,0.24748042,0.47101906,0.56596404,0.07968858,0.31716666,0.24556133,0.3726001,0.5797843,0.558634,0.10711475,0.4038185,0.6487675,0.38048768,0.22477752,0.23259552,0.32695693,0.31341925,0.38462648,0.20277289,0.21848223,0.017894924,0.34389383,0.64415157,0.46720088,0.47558177,0.5437176,0.39034712
58,30.009546,9.369778,9.835353,2.331386,1.2830132,2.3786922,1.3995668,1.2795982,1.2557683,0.7761502,1.0104643,1.5217599,1.2539916,1.5251895,0.7005231,0.9455119,1.0849742,0.6250892,0.34798563,1.1208478,1.0050595,0.99739975,0.34643346,0.83164823,0.78957206,0.1924715,0.58394545,0.6674754,0.8110548,0.52718025,0.2668281,-0.036435515,0.6423624,0.19669971,1.008627,0.8341452,0.38190544,0.2761155,0.64691114,0.43594596,0.67842233,0.33610317,0.7970109,0.3072397,0.69352263,0.14982836,0.45640483,0.3389449,0.5619977,0.37269995,0.30087054,0.69930565,0.61185205,0.0133217955,0.38348848,0.8358945,0.49840966,0.345869,0.65927625,0.6144796,-0.10860948,0.25154462,0.26605088,0.6343182,0.20819214,0.25221178,0.46023878,0.4570405,0.15679261,0.6138131,0.29364827,0.52800155,0.3420148,0.2532819,0.46619913,0.5668226,0.08301188,0.31839445,0.25194234,0.3682806,0.5781433,0.550477,0.10647364,0.40635058,0.64361197,0.3863684,0.2259652,0.236134,0.32922712,0.32090056,0.3767891,0.20155919,0.2147573,0.026374355,0.33599693,0.64291525,0.46418086,0.46963048,0.5370136,0.38955885
59,30.122198,9.412005,9.792814,2.3334978,1.2871997,2.3822196,1.3812981,1.2735023,1.2637777,0.77842355,1.015719,1.523837,1.2563714,1.5317305,0.7078699,0.94369936,1.0773264,0.6263326,0.34552035,1.1132743,1.0051922,1.0045296,0.3468184,0.8321496,0.79478776,0.19784719,0.5918343,0.6672459,0.8121263,0.53267175,0.26653236,-0.037676215,0.64492077,0.19990999,1.0073677,0.83779496,0.38006908,0.27728945,0.6521872,0.43177193,0.68446404,0.32918113,0.8014701,0.30115908,0.7032181,0.1491553,0.45614207,0.33801877,0.5696837,0.37743196,0.30305263,0.7027975,0.61460495,0.014344847,0.3891218,0.84218955,0.4968835,0.3480215,0.65987265,0.61661613,-0.111634016,0.25192767,0.26735973,0.6345639,0.20473833,0.25149915,0.46547112,0.46119222,0.15710974,0.6126687,0.29168466,0.5278868,0.34175202,0.25593942,0.4669527,0.56822187,0.08646515,0.3219478,0.25403598,0.36786133,0.5823901,0.55563796,0.1072807,0.4106537,0.6477017,0.38818038,0.22873059,0.2447992,0.3269586,0.32393804,0.37764537,0.20366088,0.21721753,0.03125542,0.33737874,0.6457864,0.46416062,0.46562725,0.5407718,0.38954824
60,30.261974,9.443036,9.770606,2.340589,1.2949474,2.3956275,1.3710306,1.2706239,1.2670997,0.78128535,1.0258101,1.5318986,1.2615733,1.5352659,0.71406317,0.9438922,1.0731568,0.62623495,0.3433054,1.109651,1.0044382,1.0145183,0.35043228,0.8334623,0.7938551,0.19863826,0.5930224,0.6710746,0.81458163,0.5412175,0.2681672,-0.030873239,0.6513338,0.20963833,1.0077477,0.8348244,0.37628466,0.27830505,0.6549511,0.43280664,0.6845907,0.32962754,0.8017428,0.2982571,0.7090524,0.15275997,0.45394167,0.34010512,0.56823844,0.37953395,0.30411184,0.70351934,0.61682516,0.019598758,0.3934598,0.8435184,0.49574274,0.34620818,0.6587334,0.61860454,-0.10911769,0.25586957,0.26332524,0.63357157,0.20096922,0.25726682,0.46923348,0.46389234,0.15658507,0.6081974,0.28788003,0.52329427,0.3421445,0.2650322,0.46475416,0.5660852,0.09144886,0.3218173,0.25445223,0.36546108,0.5839282,0.55389905,0.11173192,0.41402966,0.6459765,0.38831586,0.2318024,0.24931826,0.32509854,0.32562423,0.37563112,0.20484963,0.22001475,0.03341965,0.33772364,0.64740705,0.46104285,0.4600647,0.5402644,0.38892436
