,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
50,12.675498,3.9527686,4.6785474,0.97764975,0.8846376,1.2507896,0.90574247,0.75128645,0.3123263,0.44416997,0.44358486,0.63743925,0.45064482,0.5908659,0.3774428,0.3754464,0.35192236,0.33130097,0.20984527,0.47210175,0.41483516,0.45254332,0.22391851,0.2036266,0.2914183,0.15745105,0.28086355,0.21436302,0.285787,0.22027212,0.19839393,0.20654811,0.19776818,0.1999463,0.24261132,0.18802334,0.14876455,0.20122889,0.2279907,0.3166111,0.25169253,0.22124703,0.18621,0.23370804,0.17371607,0.13810189,0.17331883,0.13097996,0.17220744,0.10887377,0.18544838,0.16488297,0.09989868,0.15297163,0.26460162,0.16258188,0.09940237,-0.03306325,0.2569206,0.14914356,0.17239581,0.14236395,0.1199575,0.24790764,0.10674931,0.1762928,0.16121894,0.1299515,0.111746654,0.20617409,0.1392022,0.092677094,0.15813276,0.22566052,0.19118163,0.21133603,0.12083506,0.080486484,0.12047375,0.05872844,0.09587254,0.10464142,0.18353005,0.12488133,0.14164795,0.17705514,0.14252049,0.130445,0.056437373,0.08530877,0.14178261,0.16603802,0.072268695,0.13394347,0.035514906,0.16739891,0.12374951,0.1046441,0.063547775,0.09178691
51,11.856791,3.7034743,4.377167,0.91470087,0.8314102,1.173125,0.8505417,0.70280224,0.29578042,0.42077693,0.41836637,0.59981954,0.42623073,0.55439556,0.35762653,0.35225186,0.329586,0.31443167,0.20052752,0.44504544,0.38918492,0.42504582,0.21328777,0.19418201,0.27075383,0.14669602,0.26544154,0.2016103,0.2712099,0.2085764,0.18619977,0.19255811,0.18870622,0.18681514,0.23138025,0.17349958,0.1430665,0.1920382,0.21649443,0.29739636,0.23727377,0.20491265,0.17868206,0.21888366,0.16625021,0.12907694,0.15725401,0.12573323,0.1630308,0.099951655,0.17718336,0.15570441,0.096905604,0.14487036,0.2489712,0.15152411,0.09387855,-0.033914484,0.24187152,0.14299634,0.16406551,0.12936862,0.11438785,0.23087148,0.09749748,0.16738205,0.15285304,0.122219115,0.10306439,0.1950809,0.13376963,0.08426407,0.15139377,0.2141247,0.17929874,0.2012373,0.11390116,0.07782784,0.112936325,0.05644173,0.08851682,0.09980427,0.17446159,0.12013897,0.13484624,0.1687586,0.13768196,0.1246426,0.05450287,0.07898053,0.13620324,0.15902251,0.07210894,0.123544544,0.032470338,0.15952905,0.11763026,0.098911695,0.06328727,0.086386524
52,11.141253,3.483719,4.1215935,0.86115736,0.78405106,1.1052923,0.806132,0.6620967,0.2812354,0.3995002,0.39705646,0.5672685,0.404569,0.5211253,0.3396858,0.33250195,0.31058583,0.2976917,0.1919584,0.42169484,0.36602336,0.4008949,0.20560104,0.1857222,0.25231317,0.1370932,0.25095162,0.18989113,0.25774187,0.19863391,0.17628342,0.17959465,0.17911577,0.17475605,0.22137141,0.15991306,0.13841233,0.18326506,0.20612258,0.28030878,0.22519824,0.1899378,0.17188954,0.20609811,0.15971299,0.12124413,0.14320803,0.120912194,0.15530962,0.092145965,0.17039159,0.14769448,0.09475118,0.13731897,0.23425068,0.14127773,0.08886662,-0.034552846,0.22849464,0.13750206,0.1567035,0.1185583,0.1095301,0.21708067,0.09013975,0.15883245,0.14526182,0.1144806,0.09514015,0.18547672,0.1299192,0.07692529,0.14457308,0.2048601,0.16803758,0.19201846,0.107302114,0.07492139,0.106034,0.055117797,0.081890926,0.095057294,0.16568872,0.11521579,0.12938516,0.16088314,0.13328777,0.11949366,0.05305283,0.07333524,0.13212705,0.15281926,0.071907334,0.11502859,0.029190179,0.1525442,0.1127055,0.0941573,0.06456917,0.08140138
53,10.508398,3.290503,3.892505,0.8143173,0.7422961,1.0455143,0.76479334,0.6257968,0.26872933,0.3816842,0.37774402,0.53823996,0.38523176,0.49159503,0.3232838,0.31476757,0.29439262,0.2837513,0.1847781,0.40078133,0.34620664,0.37927836,0.19754426,0.17849845,0.23655272,0.12862945,0.23864327,0.17943439,0.24595153,0.18963717,0.1669014,0.16815333,0.17137125,0.16480008,0.21316202,0.14788264,0.13430001,0.17561504,0.19699512,0.26552746,0.21423781,0.17694208,0.16554147,0.19481729,0.15388948,0.1141415,0.13120285,0.11643101,0.14822647,0.085249014,0.1640726,0.1406147,0.09269518,0.13082676,0.22169083,0.13289665,0.08436507,-0.0353242,0.21628717,0.1325801,0.1504476,0.1085538,0.105166316,0.20389225,0.083307646,0.15144137,0.13867435,0.10824593,0.08808254,0.17699921,0.12629712,0.070348375,0.13908844,0.19638072,0.15816751,0.18402794,0.10189255,0.07240462,0.099936716,0.05385127,0.07599324,0.09129011,0.158156,0.11116342,0.12443796,0.15401065,0.12941909,0.114776514,0.051792342,0.06803312,0.1275579,0.14738294,0.07178552,0.10747753,0.026653066,0.14625199,0.10842079,0.09010614,0.06490698,0.077036515
54,9.9655905,3.1245031,3.696129,0.7733109,0.70671123,0.99401426,0.72961384,0.59454364,0.25790805,0.36595333,0.36121625,0.5133441,0.3688428,0.46682528,0.3096757,0.2995978,0.27994552,0.27178186,0.17849857,0.3830905,0.3289987,0.36093274,0.19106773,0.17218415,0.22277546,0.121427685,0.22807322,0.1707242,0.23597851,0.18189588,0.15900305,0.15861616,0.16474637,0.15600327,0.20572802,0.13795188,0.13069165,0.16923538,0.18927883,0.2527949,0.204888,0.16588776,0.16043419,0.18509023,0.14893997,0.10816152,0.1207333,0.112798505,0.14222239,0.079328574,0.1587871,0.13451459,0.09090569,0.12529047,0.2108732,0.12545964,0.08062994,-0.035917185,0.20609514,0.12844178,0.14491878,0.100099966,0.101505086,0.19283588,0.07750343,0.14523673,0.13301313,0.10280935,0.08216536,0.16975433,0.12300259,0.06475386,0.13432395,0.18898788,0.14992559,0.17719561,0.097143285,0.070392385,0.09475763,0.052632593,0.071025975,0.08790371,0.15181991,0.107776985,0.1201278,0.14827205,0.12612745,0.110835925,0.050653867,0.06373808,0.12402631,0.14271177,0.071642265,0.100819975,0.024433725,0.14100446,0.10455461,0.086425185,0.06519088,0.07329307
55,9.490556,2.979019,3.525596,0.7378475,0.6753851,0.9490481,0.69941205,0.5675039,0.2484905,0.35221893,0.3468634,0.49164551,0.35445032,0.4447585,0.2975491,0.28636312,0.26758134,0.26100892,0.17295837,0.36753625,0.3139251,0.34478754,0.18550962,0.16670167,0.21073213,0.11508007,0.2186209,0.16295946,0.22711474,0.17522912,0.15215755,0.1500357,0.15865892,0.14825302,0.19934383,0.12895568,0.12762038,0.16344377,0.18242984,0.24160606,0.19678134,0.15601957,0.15587074,0.1766022,0.14459881,0.10290148,0.11157619,0.10953373,0.1369816,0.07412857,0.15421334,0.12919888,0.08942727,0.120351925,0.2012422,0.11885669,0.07728927,-0.0364429,0.19708434,0.1247953,0.1401143,0.09278074,0.09826192,0.18331262,0.07250747,0.13963577,0.12801519,0.097928084,0.07688792,0.16340846,0.12032882,0.059849367,0.1300535,0.18270245,0.14248711,0.1711299,0.092968844,0.068528265,0.09015161,0.051738903,0.066615686,0.084913634,0.14612402,0.10468967,0.11643189,0.14307405,0.123209596,0.107349455,0.04972224,0.059861343,0.12098084,0.1386167,0.07155826,0.09511792,0.022419695,0.1363388,0.10129747,0.08331146,0.06571296,0.06996917
56,9.075907,2.85224,3.3760393,0.70686436,0.6480955,0.9098168,0.6726328,0.5437955,0.24031249,0.34035867,0.33424556,0.47265804,0.34187755,0.42557046,0.2869355,0.27476624,0.25681043,0.25179517,0.16818392,0.35394198,0.3008643,0.3306772,0.18045375,0.16194582,0.20029543,0.109553486,0.21048595,0.15620054,0.21942827,0.1693617,0.14608148,0.14260189,0.15351582,0.14159895,0.19383019,0.121174134,0.124920286,0.15845576,0.17647886,0.23190199,0.18964888,0.14748372,0.15186371,0.16919254,0.14080523,0.098295465,0.10364828,0.10667509,0.13236696,0.06959211,0.15017055,0.12455284,0.08809994,0.11608766,0.19293422,0.11320558,0.07437591,-0.036927104,0.18918572,0.12160688,0.13594995,0.08631398,0.09543247,0.17481959,0.068084545,0.13480705,0.123683624,0.09377848,0.072300784,0.1578806,0.117915794,0.055560008,0.12642328,0.17713149,0.13606101,0.16588254,0.08939189,0.06693399,0.08614764,0.050908737,0.06277487,0.08236776,0.1412238,0.1020702,0.11317262,0.13858706,0.120677084,0.10429286,0.048898302,0.05646136,0.11818132,0.13504893,0.07148414,0.09010722,0.020729166,0.13227275,0.09843137,0.080586284,0.065992996,0.06708431
57,8.716214,2.7421763,3.2464828,0.67987686,0.6244451,0.8757469,0.6495372,0.52324015,0.23319043,0.32997146,0.32332748,0.4562009,0.3309971,0.40898672,0.27780518,0.2647268,0.24737994,0.2437621,0.16401294,0.34220108,0.28947607,0.31846768,0.17617926,0.15779361,0.19118449,0.1047626,0.20340571,0.15036725,0.21276821,0.16427723,0.14085843,0.13619156,0.1490187,0.13576768,0.18897176,0.11446854,0.122568935,0.15414576,0.17132708,0.22346614,0.1834825,0.14008594,0.14843893,0.16275963,0.13752247,0.094321445,0.096739985,0.10422864,0.12838493,0.065654896,0.14669263,0.12051786,0.086950704,0.11238578,0.18569778,0.10824461,0.071865104,-0.037330277,0.182377,0.11885005,0.1323083,0.08073673,0.09299116,0.16751911,0.064273395,0.13062342,0.119922005,0.09013789,0.06833797,0.15309122,0.115808755,0.051847592,0.123242855,0.17229675,0.13051102,0.16133024,0.08625783,0.06556149,0.082676925,0.050177764,0.059453752,0.08012046,0.13697745,0.09979576,0.11034532,0.13470939,0.11848456,0.10165826,0.04817725,0.05355607,0.11584175,0.13195194,0.071411245,0.08574542,0.019239519,0.12877256,0.0959197,0.07818723,0.066270664,0.064577684
58,8.402305,2.646108,3.1335883,0.65641135,0.6037771,0.84603304,0.6294386,0.50535196,0.22699605,0.32093596,0.31380713,0.44184566,0.3214893,0.39444485,0.2697834,0.2559663,0.23921382,0.2367157,0.16037397,0.3319341,0.27955312,0.30779114,0.17244115,0.15418366,0.18324812,0.10057525,0.19720067,0.14525072,0.20693414,0.15985325,0.13629662,0.13055332,0.14505845,0.130686,0.1847699,0.10856286,0.12053323,0.15034708,0.16681588,0.2161036,0.17810875,0.133597,0.14542715,0.15714987,0.13465504,0.090843566,0.090719245,0.10207248,0.12490656,0.06221702,0.14366147,0.11700113,0.08596133,0.109141946,0.1793629,0.10391516,0.06966147,-0.037689403,0.17641102,0.11644083,0.12914069,0.07587527,0.09085215,0.16115592,0.060954735,0.12694651,0.11663156,0.0869547,0.06486008,0.14890924,0.114002936,0.04860393,0.1204617,0.16810456,0.1256261,0.15734212,0.08352908,0.06434713,0.079634935,0.04956936,0.05654389,0.078164734,0.13324836,0.097794846,0.10788804,0.13129613,0.11656195,0.09934779,0.04756004,0.05099147,0.11378512,0.1292488,0.07135664,0.081959,0.017935704,0.12569961,0.09375337,0.07611852,0.06654291,0.06238214
59,8.128907,2.5624712,3.0351288,0.6359501,0.58578914,0.82015455,0.61186165,0.48974693,0.22160381,0.3130783,0.3055002,0.42933488,0.31321037,0.381806,0.2628036,0.24832958,0.23209053,0.23061317,0.1572125,0.32299405,0.27092123,0.2984943,0.1691576,0.15104133,0.17634444,0.096931905,0.19181862,0.14080301,0.20186558,0.15599075,0.13230929,0.12565984,0.14164191,0.12627415,0.18111017,0.103441775,0.118754044,0.1470572,0.16289416,0.20970064,0.1734185,0.1279635,0.14280629,0.15226313,0.13215744,0.08781494,0.085484125,0.10019802,0.12187154,0.05922307,0.14101374,0.11393619,0.08509198,0.10632591,0.17386362,0.10016002,0.067744784,-0.038004015,0.17121568,0.114342414,0.12638395,0.07162885,0.0889916,0.15558574,0.058053993,0.12375818,0.11377206,0.084199615,0.06183864,0.14527,0.11241126,0.0457787,0.118054494,0.1644351,0.12139032,0.15387903,0.08116084,0.06329858,0.0769906,0.049026236,0.0540135,0.076469064,0.13001637,0.09606699,0.1057409,0.12833647,0.114891976,0.097336344,0.04701861,0.04876179,0.11197699,0.12689526,0.07130724,0.07865118,0.016810779,0.12302849,0.091857456,0.07431026,0.06674781,0.060473874
