,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,564.7621,3239.3184,1547.4125,207.97507,384.9084
5,916.2844,3733.237,1408.1547,173.33237,275.97742
6,1024.1947,2922.2573,1302.5438,116.20147,252.91464
7,1493.4269,2533.0608,943.3275,250.60669,399.0046
8,1742.9194,2504.725,891.58185,198.36844,348.3852
9,1343.0604,1266.7201,1005.6759,239.87994,483.59915
10,588.5443,562.33356,1123.4377,483.83347,693.1552
11,222.58806,370.60995,1281.9957,652.29333,826.06805
12,289.75546,470.27847,1287.7782,668.5569,933.7233
13,350.5143,543.25555,1145.4065,960.9693,899.8759
14,342.8636,474.75067,984.7648,1428.966,966.9896
15,295.46008,454.48682,777.17865,1365.8164,766.1694
16,274.05365,452.4332,939.9714,1544.0503,592.81525
17,89.301704,201.91927,514.7121,1121.1687,246.54129
18,242.85791,528.3707,1031.7397,1766.7917,451.58115
19,219.15196,528.7346,1295.0728,2064.1326,466.89624
20,309.21222,719.9331,1282.3373,2254.071,616.1038
21,178.93562,472.96442,1123.8569,1998.8536,444.60507
22,232.19012,586.43066,1172.051,1990.2585,503.22
23,236.16217,543.40186,1336.5712,2095.8218,637.9034
24,278.49622,730.9011,1195.8329,1797.1565,633.91187
25,326.63766,671.9236,1480.1562,2300.292,732.9533
26,465.96902,1073.4187,1619.8832,2443.9998,1002.7264
27,479.51965,933.2786,1602.6239,2139.1575,942.6431
28,528.7075,1218.5731,1660.1052,2190.3752,1140.4452
29,569.9042,1174.8317,1668.7355,2092.0796,1137.4672
30,589.6406,1242.3834,1827.3844,2440.888,1258.4749
31,663.16833,1300.7699,1820.428,2406.6724,1261.5258
32,627.62866,1318.1213,1785.6779,2198.901,1192.1976
33,627.7434,1293.617,2034.6112,2655.66,1339.9321
