,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
12,462.89,685.94,1456.18,866.97,1020.03
13,468.98,646.98,1484.45,1153.98,1099.33
14,511.49,646.99,1323.2,1346.91,976.87
15,508.96,673.72,1338.43,1366.0,950.57
16,533.8,788.94,1485.65,1642.14,962.59
17,490.03,797.11,1518.29,1777.5,911.44
18,512.96,825.13,1573.04,1849.21,954.19
19,470.31,822.59,1595.9,1966.84,963.66
20,480.99,841.15,1637.16,1964.67,991.27
21,483.31,841.74,1669.9,1967.13,1007.19
22,441.6,837.47,1663.05,1992.43,1031.76
23,451.02,871.76,1701.46,2008.39,1054.0
24,449.09,860.32,1685.54,1981.09,1054.79
25,446.39,852.87,1671.18,2008.11,1036.2
26,463.35,904.07,1723.82,2035.74,1081.35
27,496.75,922.62,1740.07,1995.36,1076.64
28,491.48,898.23,1731.19,1958.33,1087.93
29,505.73,944.29,1778.06,2012.77,1111.84
30,547.46,1004.05,1823.47,2010.27,1170.39
31,578.18,1052.79,1869.28,2075.44,1188.02
32,656.13,1192.28,1921.38,2093.66,1240.64
33,711.03,1310.91,2002.5,2181.46,1294.32
34,653.01,1204.9,1983.74,2183.53,1309.32
35,661.76,1232.5,2030.78,2243.75,1316.85
36,665.67,1218.48,2030.81,2208.39,1308.46
37,661.37,1225.74,1959.83,2177.59,1292.86
38,681.04,1215.13,2018.51,2164.32,1289.43
39,760.58,1289.15,2005.97,2069.74,1267.41
40,778.45,1299.16,1991.44,2044.5,1268.54
41,764.85,1267.57,1984.6,2007.08,1259.11
42,762.83,1257.29,1929.66,1904.42,1232.55
43,760.54,1252.49,1938.26,1893.82,1231.31
44,741.13,1197.77,1901.93,1770.15,1211.03
