,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,728.88,2927.52,1492.05,336.8,429.29
5,939.87,3550.1,1356.05,406.8,347.56
6,1243.56,2714.51,1374.47,329.76,400.09
7,1431.83,2752.42,1087.69,308.63,412.64
8,1742.87,2565.06,927.04,328.59,535.06
9,1322.12,1436.67,1288.53,431.56,588.25
10,630.98,773.71,1331.23,741.73,740.03
11,336.84,584.9,1499.29,901.61,882.89
12,388.33,588.12,1452.66,950.1,1000.47
13,376.22,464.67,1459.92,1034.74,1160.59
14,500.71,639.38,1051.91,1435.9,899.74
15,432.39,466.45,501.6,1507.42,897.69
16,373.32,529.28,893.13,1728.7,653.13
17,205.44,397.18,414.05,1267.45,360.41
18,279.51,764.74,1069.62,2221.93,521.65
19,283.22,563.1,1388.26,2334.43,493.71
20,331.83,556.55,1375.74,2552.76,612.9
21,389.28,649.11,1287.46,2030.4,670.34
22,299.05,608.21,1464.55,2257.53,602.1
23,302.87,659.1,1615.94,2157.11,732.33
24,322.23,687.15,1025.17,2124.51,658.76
25,298.73,826.05,1816.24,2505.43,963.43
26,380.82,1028.7,1539.01,2578.23,1244.35
27,411.02,951.85,2043.73,2212.32,1154.59
28,549.25,1294.58,1635.05,2423.22,1333.01
29,657.0,1205.14,1944.04,2383.52,1248.49
30,597.62,1106.17,2322.4,2440.91,1425.86
31,793.25,1478.02,2060.9,2524.32,1318.23
32,652.62,1541.26,1816.21,2465.18,1320.63
33,585.78,1339.32,1910.02,2714.66,1380.54
