,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,521.38226,3526.6528,1743.5425,107.80835,315.37476
5,886.6128,4541.4463,1438.1973,98.7522,219.64154
6,1332.6646,2836.8438,1468.8547,122.257324,335.26184
7,1582.474,2975.6846,1032.4226,196.18323,350.66263
8,2074.2144,2640.7092,738.95917,273.84375,549.86346
9,1490.5371,1248.972,1331.1699,242.43774,585.7092
10,620.8811,637.26733,1431.5916,436.80896,718.25323
11,158.86435,416.27606,1508.5558,627.2682,900.7919
12,301.24896,449.77942,1505.0546,659.1102,1067.2772
13,343.08972,370.08972,1492.5383,870.6882,1289.7576
14,401.30072,410.6123,938.4664,1511.7422,989.3709
15,417.8639,409.9513,334.917,1483.2983,947.87695
16,368.28064,531.9014,956.2809,1831.013,602.33514
17,141.51501,337.28357,240.073,1008.3807,222.35468
18,242.55359,844.00165,733.59454,2129.3577,317.66217
19,240.38614,502.50018,1389.5696,2461.5386,340.9753
20,299.60248,435.16333,1392.1724,2814.5503,518.1445
21,318.68503,541.0405,1162.4673,2173.177,551.44275
22,277.29678,532.06366,1421.8141,2317.8599,474.5428
23,254.46368,560.91956,1603.2996,2124.0413,577.3883
24,290.0106,651.712,860.9177,2198.6743,566.63
25,262.1737,842.074,2003.0414,2667.2266,1019.9303
26,379.555,1123.5004,1476.447,2719.8193,1366.8235
27,439.74097,989.83527,2276.2761,2177.8303,1221.3738
28,599.6057,1538.6736,1672.7546,2527.424,1485.5266
29,712.3567,1253.4642,2027.8152,2403.8174,1310.6812
30,649.1346,1068.8906,2597.0576,2471.7986,1562.3618
31,857.7404,1590.5891,2106.8105,2581.2012,1345.1571
32,684.65967,1691.7644,1781.4119,2563.5542,1347.7512
33,536.10535,1313.3376,1998.9255,2999.5386,1463.077
