,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
50,19.737488,6.3287334,6.72658,2.1102643,0.723866,2.6424935,0.9383366,1.486308,1.0847658,0.92014325,0.99717486,1.5972466,0.86184484,0.6038822,0.59843373,0.6808963,0.62758094,0.5576426,0.24088307,0.416008,0.753306,0.97817826,0.63795614,0.5287652,0.6037862,0.435221,0.08525,0.11310795,0.8235446,0.07001264,0.24710387,-0.083140135,0.4712099,0.11291798,0.4284038,0.31969365,0.39638525,0.28831005,0.28132883,0.23168138,0.5153414,0.9080355,0.17554662,0.16717124,0.25693706,0.18640506,0.7459648,0.024730293,0.14588721,-0.17479317,0.24766828,0.17336729,0.28952405,0.17921628,0.22997892,-0.008738846,-0.0009279847,0.2815804,0.1800653,0.45838594,0.24944937,-0.06527207,0.25770319,0.018228322,0.23659623,0.5261116,0.83065635,-0.040776208,0.17323586,0.045656405,0.37677488,-0.057668276,0.2400509,0.55618757,0.3529511,0.5811901,0.1017991,0.116191335,0.041857816,0.18499799,0.4747596,0.58069426,-0.11196819,0.20650226,-0.11590315,0.37204614,0.37787962,0.38531747,-0.26451236,0.026695251,0.3237438,0.19623564,0.3452829,0.06231104,0.4027691,0.19985367,0.431768,0.38670564,0.2716122,0.45349523
51,19.597765,6.2833657,6.6724243,2.0985556,0.71953523,2.6237266,0.93157035,1.4727894,1.0755055,0.91491467,0.99098617,1.5837556,0.8533504,0.5978605,0.59698045,0.6775734,0.6248912,0.5525478,0.2389825,0.41537613,0.7481664,0.9717364,0.63063216,0.52356327,0.5998971,0.43383408,0.08549294,0.11252144,0.81769377,0.071541265,0.24527812,-0.08212362,0.46843082,0.112473994,0.4265877,0.3189652,0.39389828,0.28741524,0.28074437,0.23127884,0.51088774,0.89878285,0.17453,0.16592622,0.25407574,0.18310943,0.74223834,0.02560374,0.14532022,-0.17159392,0.24551761,0.16982771,0.28629074,0.17925341,0.22802389,-0.009110439,-0.0006474443,0.2778551,0.1787976,0.45656514,0.24853882,-0.06470085,0.25598872,0.015126385,0.23523985,0.5219645,0.82168335,-0.04133695,0.17358953,0.045810893,0.37493882,-0.05478082,0.24249236,0.55199134,0.34878948,0.57734466,0.09948933,0.116629794,0.040827997,0.18231589,0.4716054,0.57383597,-0.11059487,0.20341298,-0.11277308,0.36702532,0.3730093,0.383566,-0.2627677,0.02782141,0.32145458,0.19119696,0.3428305,0.061439805,0.4001091,0.19794282,0.42884016,0.38242328,0.27245823,0.45071045
52,19.503796,6.251902,6.638341,2.0865035,0.71555114,2.6104963,0.92752534,1.4674747,1.0711962,0.9080434,0.9845164,1.5783893,0.8486393,0.5959021,0.5958367,0.6751467,0.62301403,0.55152416,0.23784938,0.41064566,0.7465004,0.9678238,0.6281898,0.5223205,0.59592366,0.4297285,0.08529988,0.110099174,0.81327164,0.066543624,0.24199575,-0.08378178,0.46467167,0.111231185,0.42572933,0.31668094,0.3909671,0.28523174,0.27741873,0.22888565,0.5095295,0.89603025,0.17258108,0.16636866,0.25450858,0.18439308,0.73629075,0.023849202,0.14501175,-0.17172669,0.24296494,0.16724317,0.2844722,0.17376733,0.22794819,-0.009197262,0.00016948953,0.27834913,0.17798826,0.45500034,0.24783221,-0.067565255,0.2544988,0.016795412,0.23303628,0.5193797,0.820178,-0.039612163,0.17169555,0.045181982,0.3724086,-0.056186415,0.23668717,0.54999316,0.34954047,0.57443094,0.09909944,0.11325348,0.040295735,0.18366434,0.470068,0.57400435,-0.109739125,0.20240645,-0.11493618,0.36756182,0.3686882,0.379499,-0.26322022,0.026077213,0.3205162,0.19207276,0.34090823,0.060879976,0.39844054,0.19753967,0.42666823,0.3838948,0.26842257,0.44721106
53,19.401396,6.221381,6.6091557,2.0764549,0.7132757,2.5965135,0.9245039,1.4600415,1.0654707,0.90460515,0.9798154,1.5687742,0.84550875,0.5928202,0.5902835,0.6717054,0.61937207,0.5477117,0.23697414,0.40918595,0.7424097,0.96288556,0.6246683,0.5194557,0.5930596,0.42822585,0.08535987,0.11045093,0.8092023,0.069021575,0.24125746,-0.08230734,0.46245205,0.110993735,0.4229016,0.31566522,0.3889512,0.28393632,0.27700475,0.22867101,0.50624007,0.8904122,0.17275047,0.16587771,0.25228855,0.183411,0.73211795,0.024014952,0.14423993,-0.17125861,0.24353775,0.16837856,0.28294638,0.17518094,0.22697915,-0.009392597,0.00034891441,0.27617395,0.17641707,0.45280492,0.24669188,-0.065957576,0.25290212,0.01634042,0.23222874,0.5166002,0.81529546,-0.039614525,0.1707408,0.045585442,0.37095255,-0.054912046,0.23640963,0.54716194,0.34640095,0.57105917,0.09857553,0.11403086,0.039832205,0.1820114,0.46621075,0.5697221,-0.10885243,0.20121445,-0.11292093,0.36533868,0.3690111,0.37914422,-0.26019228,0.026400061,0.3181797,0.19038564,0.33934784,0.060954172,0.3960775,0.19639821,0.42469794,0.38169533,0.26789498,0.44519275
54,19.288347,6.1855507,6.5701256,2.0654695,0.7099178,2.581152,0.91948694,1.4508797,1.0590068,0.89998466,0.9744908,1.5587915,0.84046745,0.58903813,0.58697593,0.6684635,0.61629546,0.54411924,0.23568384,0.40724504,0.7383477,0.9576984,0.62022424,0.5161801,0.5897391,0.42623508,0.08541669,0.1100095,0.80444086,0.0697478,0.23973167,-0.08168706,0.45983028,0.11052847,0.4207218,0.31425273,0.38664496,0.28249675,0.27589944,0.22799847,0.502891,0.8842136,0.17206442,0.1652627,0.2503711,0.18204957,0.7279951,0.024094647,0.14370812,-0.17004047,0.24246506,0.16720755,0.2808575,0.17492981,0.22593156,-0.009525295,0.0006303638,0.2740047,0.1752267,0.45075196,0.24567235,-0.06553271,0.25131655,0.015333332,0.23098043,0.5134282,0.8099122,-0.039582208,0.17006044,0.04569471,0.36918047,-0.0537425,0.23603107,0.54404956,0.343719,0.56772274,0.09751578,0.113896646,0.039165862,0.1806126,0.46310428,0.565464,-0.107838705,0.19952796,-0.11138726,0.3627961,0.36691728,0.3775853,-0.25827754,0.026617963,0.31611407,0.18823507,0.33746928,0.060636744,0.39381278,0.19514254,0.4223721,0.37928796,0.2672567,0.44275677
55,19.18397,6.152172,6.534251,2.0543773,0.70652974,2.5668366,0.91489714,1.4432076,1.053441,0.89489883,0.9690407,1.5504682,0.83592206,0.58598495,0.58401537,0.66545594,0.6135026,0.54135454,0.23450631,0.40446004,0.73505884,0.95298636,0.61661583,0.51364684,0.58635557,0.42366147,0.08540032,0.10905954,0.79991996,0.06890911,0.23779756,-0.08167608,0.4569524,0.10985661,0.41885728,0.3125607,0.38421372,0.28083012,0.27418834,0.22684962,0.5001905,0.87926877,0.17108598,0.16498461,0.2491662,0.18154782,0.723385,0.023637401,0.14324695,-0.1693936,0.24112645,0.16595703,0.27897567,0.17329578,0.22522984,-0.009628949,0.0010323785,0.27269408,0.17413343,0.44882756,0.24473113,-0.06598576,0.24978128,0.015233353,0.22950858,0.510535,0.8059535,-0.039054487,0.1689648,0.04560731,0.36722898,-0.05343291,0.23397496,0.541365,0.34209114,0.5645771,0.09673683,0.112896144,0.038589977,0.18007459,0.4604325,0.56265426,-0.10692011,0.1981601,-0.11097849,0.3613183,0.36450636,0.3754371,-0.25698122,0.026244504,0.3143869,0.1871573,0.33565545,0.060328472,0.3917587,0.19418897,0.42016903,0.37814862,0.26560208,0.44009763
56,19.079546,6.1194673,6.499976,2.0437188,0.7035042,2.552577,0.91060615,1.4353585,1.0477508,0.89046353,0.9639414,1.5415531,0.831792,0.58282644,0.58023256,0.6622939,0.61040896,0.53816205,0.2334033,0.40224743,0.73137254,0.94817996,0.61293274,0.510911,0.5831963,0.42152798,0.08541835,0.10860238,0.7955211,0.06939622,0.23632938,-0.08113761,0.4543662,0.10936859,0.4166498,0.31108814,0.38196123,0.27930787,0.2729836,0.22608474,0.4972029,0.87395215,0.1705097,0.16457617,0.24753459,0.18072721,0.71910954,0.023489716,0.14271258,-0.1687004,0.24037153,0.1654804,0.2771837,0.17288414,0.22440873,-0.009749621,0.0013232902,0.27097642,0.17291626,0.44679093,0.24371836,-0.0656492,0.2482335,0.014820538,0.22830245,0.5076545,0.8015345,-0.038805015,0.16800474,0.04570439,0.3654723,-0.052702673,0.23281732,0.538582,0.33982754,0.5613775,0.09600851,0.11259918,0.038034044,0.1790495,0.4573672,0.55915856,-0.10600889,0.1968163,-0.10988786,0.35944968,0.36302105,0.37394574,-0.2550563,0.026206437,0.3124213,0.18575321,0.33392823,0.060150485,0.38960493,0.19313091,0.41802254,0.37641817,0.26451716,0.43772003
57,18.973442,6.0859437,6.4641356,2.0329826,0.7003275,2.5381083,0.9060054,1.4271808,1.0419104,0.8858984,0.9587792,1.5325125,0.8273466,0.5795233,0.5768029,0.65916544,0.60740376,0.53496325,0.23223348,0.40003106,0.7276632,0.9433273,0.60906494,0.5080724,0.5799859,0.41937265,0.08544111,0.10806018,0.7910227,0.06971052,0.23477376,-0.0806915,0.4517482,0.10886146,0.4145356,0.30958456,0.37968463,0.27778995,0.2717208,0.2252852,0.49417874,0.86848485,0.1698226,0.1641272,0.24590953,0.17979193,0.7148944,0.023366323,0.14221092,-0.16785288,0.23938495,0.16464317,0.27529868,0.17230831,0.22355397,-0.009862486,0.0016214885,0.26920894,0.17175831,0.44478184,0.2427254,-0.06543854,0.24669299,0.014262527,0.22704822,0.50470895,0.7969585,-0.03858544,0.16712268,0.045768265,0.36368984,-0.05193042,0.23176543,0.53574085,0.3375749,0.5581871,0.09517743,0.11222159,0.03744331,0.17800908,0.45440528,0.55558467,-0.10507557,0.19537845,-0.10879908,0.3574647,0.36118495,0.37231663,-0.25327572,0.026192704,0.31048694,0.18420303,0.33215585,0.059909612,0.38746306,0.1920395,0.41582596,0.37458134,0.26349106,0.43530497
58,18.869324,6.052954,6.428889,2.0222597,0.69713795,2.5238843,0.9014752,1.4192979,1.036254,0.8812405,0.9536033,1.5238284,0.82297647,0.57636225,0.5735054,0.65610224,0.60448134,0.53194505,0.23108278,0.3976516,0.7241298,0.93858266,0.6053569,0.5053812,0.5767687,0.41710752,0.08545032,0.10740692,0.78658015,0.06967733,0.23312968,-0.08038066,0.44908366,0.10831128,0.41250703,0.3080283,0.37738863,0.27623457,0.27033374,0.2243881,0.4912953,0.86327344,0.16906348,0.16374254,0.24443634,0.1790199,0.7106005,0.023136968,0.14172773,-0.16710533,0.23832113,0.16374005,0.2734522,0.17142932,0.22276746,-0.009967419,0.0019447021,0.2676157,0.17063123,0.44281292,0.2417554,-0.06542472,0.24517104,0.013874158,0.22574621,0.50182354,0.7926675,-0.03826992,0.16617051,0.0457877,0.3618757,-0.05132947,0.2303896,0.53299063,0.3355479,0.5550495,0.09438896,0.1116609,0.036869854,0.17714597,0.45155588,0.5523083,-0.104162306,0.19399714,-0.10794263,0.35568717,0.3592478,0.3705597,-0.25164965,0.026061634,0.30863506,0.18285236,0.3303981,0.05966265,0.3853735,0.19100976,0.4136587,0.3729998,0.262271,0.432849
59,18.765915,6.020318,6.394214,2.0116718,0.6940354,2.5097642,0.8970425,1.4114573,1.0306213,0.876721,0.94851625,1.5151093,0.81872064,0.57321334,0.5700699,0.6530295,0.6015214,0.52887636,0.2299556,0.39537618,0.7205541,0.9338526,0.60167205,0.5026813,0.5736085,0.4149262,0.085464604,0.1068412,0.7821891,0.06986761,0.23157528,-0.07998076,0.4464827,0.10779479,0.41042873,0.30651852,0.37513557,0.27471045,0.26903856,0.2235592,0.48838565,0.858044,0.16838071,0.16334257,0.24290378,0.17821091,0.7063795,0.02295561,0.14123324,-0.1663662,0.2373739,0.16299209,0.2716375,0.17076048,0.22196889,-0.010075751,0.0022481047,0.26597127,0.16948593,0.44083512,0.24077797,-0.06527611,0.24365488,0.013451368,0.22449711,0.49896124,0.7883396,-0.03799739,0.16523905,0.04583855,0.36010453,-0.050668493,0.22915435,0.53024507,0.33343154,0.5519201,0.09362143,0.11122046,0.036305346,0.17621186,0.448653,0.5489488,-0.10325691,0.19263454,-0.10698367,0.3538669,0.35749218,0.36892566,-0.2499217,0.02598208,0.30675346,0.18146951,0.32866764,0.05944238,0.3832791,0.18997188,0.41151592,0.37134027,0.26114258,0.43045408
