,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
31,27.14629,8.800864,8.797508,3.012648,0.95559955,3.7030451,1.0524682,1.8573766,1.4981964,1.377803,1.4881045,2.137039,1.1722192,0.77224433,0.8990513,0.9217341,0.84687066,0.7742411,0.2980113,0.7481463,0.97148776,1.3783338,0.8480745,0.65089095,0.8977479,0.66850346,0.079671,0.25556964,1.1561139,0.24273597,0.4314065,-0.13639784,0.7357103,0.1995574,0.5803237,0.3804468,0.61228204,0.41124317,0.45412272,0.39074296,0.66033065,1.2039839,0.24754772,0.15812322,0.2987486,0.12901965,1.2386433,0.13644859,0.21808387,-0.14220683,0.18645298,0.22673595,0.40630022,0.50079286,0.29774287,0.051296506,-0.055164583,0.30003962,0.36479157,0.5855601,0.32917255,0.011915289,0.3917196,-0.21974787,0.3850309,0.7283082,1.066334,-0.16656101,0.33812308,0.074534595,0.54240125,-0.032861993,0.6418166,0.7103221,0.39271507,0.865186,0.14373103,0.2391213,0.052863345,0.15526548,0.67134637,0.6267505,-0.18086196,0.2894364,-0.04001271,0.4025822,0.7389371,0.6159845,-0.36813954,0.14378004,0.42712793,0.23342095,0.46360943,0.08296171,0.56713414,0.24228197,0.5875177,0.33298296,0.56413686,0.72505516
32,26.189598,8.261571,8.285969,2.7095098,0.8452214,3.5650692,0.9303919,1.8383582,1.4868648,1.1555548,1.3578124,2.2497303,1.0578113,0.8011327,0.9681027,0.8934722,0.85775834,0.84214836,0.2806809,0.5394846,0.99401623,1.3339976,0.8541072,0.7095368,0.8132798,0.49228522,0.08530126,0.07282459,1.0451888,-0.044173263,0.2780729,-0.2649294,0.61526895,0.13615175,0.62412757,0.3007298,0.52793545,0.3323283,0.30229032,0.26348174,0.70747626,1.2861139,0.13848546,0.20261607,0.4136084,0.19551584,1.0893121,0.057875395,0.2501251,-0.18889165,0.032424033,0.14310454,0.34603322,0.14304319,0.31974864,0.047154736,-0.04085041,0.41205508,0.34339872,0.57347107,0.32682347,-0.20396926,0.36587176,-0.1230509,0.32100776,0.6923034,1.1999954,-0.0667279,0.26426113,0.032927953,0.4388597,-0.17536329,0.35351008,0.70823765,0.55321807,0.82588667,0.13016514,0.03833984,0.06004838,0.31946364,0.739748,0.816339,-0.18075745,0.281733,-0.24390045,0.53003335,0.37992918,0.41670993,-0.4967023,0.04295957,0.47090715,0.338645,0.4203937,0.07597341,0.56643295,0.2766635,0.52507854,0.5404561,0.35517743,0.59637743
33,26.355158,8.373771,8.480595,2.8128536,0.8715919,3.5722835,1.049967,1.919713,1.4722103,1.194797,1.3618102,2.200831,1.1144209,0.7934353,0.92533916,0.8995171,0.84079653,0.77715313,0.2878136,0.53146,1.0038812,1.3124393,0.8671897,0.6928787,0.81921095,0.56331795,0.07098772,0.13363883,1.1072869,-0.008361727,0.3381367,-0.15185584,0.64921427,0.14096268,0.5830703,0.37220055,0.55015415,0.38738182,0.33793637,0.25330144,0.6940963,1.2506539,0.18648356,0.18898945,0.35913,0.22065306,1.0437592,0.056577034,0.18921706,-0.19034076,0.2182057,0.13281241,0.4033059,0.19715218,0.2907429,0.0016263667,-0.026872933,0.3940219,0.30372813,0.5963285,0.32050928,-0.11551772,0.35847014,0.0016941279,0.29531288,0.7182983,1.1436721,-0.078931786,0.24418245,0.021870896,0.49867368,-0.12298815,0.33228472,0.7430413,0.5020779,0.8171034,0.14174727,0.12026902,0.06557692,0.25313997,0.70336705,0.81376374,-0.17572212,0.2884884,-0.18864483,0.48950475,0.46014634,0.46262798,-0.4272842,0.04136192,0.4563181,0.28195444,0.45254508,0.061263114,0.5570014,0.25696778,0.5842767,0.4943745,0.36365128,0.6185234
34,26.554434,8.466792,8.996809,2.790154,0.9229404,3.5737653,1.2017981,2.0033488,1.467048,1.2124395,1.3391271,2.1897657,1.153314,0.8196648,0.82061034,0.878169,0.8186498,0.7710444,0.3138891,0.55201364,0.9922975,1.2920064,0.8892822,0.71398425,0.8131379,0.5658418,0.08549591,0.14399058,1.108013,0.03925512,0.34541214,-0.12020917,0.6393496,0.14583819,0.56362396,0.3998915,0.54177535,0.37796125,0.35729563,0.2815028,0.711118,1.266939,0.21326035,0.19711946,0.36459604,0.24213275,1.0232955,0.035107724,0.18403806,-0.23174009,0.29171324,0.22586824,0.410337,0.2120924,0.29093963,0.0040136892,-0.02454777,0.39837885,0.26227087,0.5833129,0.31278792,-0.08582048,0.3570616,0.049085997,0.31715855,0.71454775,1.1403596,-0.057323,0.23106775,0.04127913,0.4858639,-0.118707165,0.30462733,0.73898786,0.50383055,0.78867275,0.15520874,0.13491212,0.081263356,0.25833815,0.6687647,0.81425244,-0.17262135,0.30057284,-0.19270891,0.50786245,0.4971764,0.4845375,-0.3856858,0.026889738,0.44978112,0.30601487,0.45830142,0.080917425,0.54139066,0.27137092,0.57044756,0.51045626,0.33922845,0.61023074
35,26.263556,8.390866,8.910901,2.7883866,0.9243388,3.5368347,1.2013817,1.9700518,1.4436508,1.2213238,1.3329936,2.1392758,1.1437092,0.80144507,0.80462897,0.87178427,0.80754995,0.7458733,0.31171823,0.57051307,0.9642828,1.279317,0.87174374,0.6962044,0.81095034,0.5795583,0.083886005,0.15928942,1.1017779,0.08751203,0.35687232,-0.102323025,0.6452693,0.15103254,0.5515975,0.41068333,0.5441069,0.38388684,0.37078792,0.29195645,0.69134533,1.2327741,0.22550741,0.18927336,0.34456792,0.22867632,1.0315155,0.045642696,0.17956787,-0.21774994,0.30960625,0.23541969,0.4066306,0.25101322,0.28117353,-9.260513e-05,-0.024603315,0.37720647,0.2565926,0.57738256,0.30928454,-0.05757302,0.35323262,0.033279374,0.32147172,0.70777434,1.1006492,-0.06778943,0.23641613,0.04555192,0.49242148,-0.094411656,0.34146005,0.72809684,0.47347412,0.7814014,0.15573373,0.1568563,0.07665857,0.23336291,0.65401417,0.7783859,-0.1696498,0.29558724,-0.16310376,0.48123974,0.5111409,0.49752638,-0.360403,0.04028418,0.4362783,0.28380466,0.457088,0.07963808,0.5352535,0.2622003,0.5673806,0.46890175,0.3592664,0.6145723
36,26.140697,8.338052,8.8455105,2.7640064,0.9114983,3.5163774,1.200372,1.9692377,1.435245,1.196311,1.313613,2.1424816,1.1229284,0.7991474,0.8202199,0.8721113,0.81269324,0.7515538,0.3092938,0.5504903,0.97764874,1.2703055,0.8665143,0.69679725,0.79953456,0.5682168,0.084428005,0.14490697,1.0941432,0.04583193,0.340825,-0.111218214,0.6315785,0.14367609,0.55905974,0.4087549,0.5353319,0.3812604,0.35696673,0.28002173,0.69701385,1.2338592,0.21287864,0.19118929,0.35441577,0.23631898,1.008357,0.035104014,0.17779204,-0.22031373,0.30073833,0.20886378,0.40254608,0.21131183,0.28045136,-0.0009048693,-0.019857787,0.3855365,0.25317475,0.5812229,0.31013364,-0.08043811,0.3524801,0.046672814,0.31117195,0.70340556,1.1030751,-0.05783415,0.23087433,0.04046808,0.4857591,-0.10297041,0.31118637,0.7273006,0.48942968,0.7772195,0.14689073,0.13979815,0.07714813,0.24618725,0.659293,0.7936011,-0.16834241,0.29061165,-0.18046728,0.48702717,0.47800988,0.4813127,-0.37779218,0.029749723,0.44266367,0.28290644,0.45289055,0.07517822,0.5340653,0.26462013,0.5647018,0.49034524,0.33995885,0.6014614
37,26.053211,8.3210335,8.844318,2.7546399,0.9125669,3.5044491,1.2080313,1.9665293,1.4296781,1.1945329,1.307279,2.1318953,1.122233,0.79717773,0.80825377,0.8682889,0.808283,0.7464983,0.30969816,0.5524889,0.9732761,1.2667547,0.8640178,0.6946101,0.7963078,0.566977,0.08444756,0.1466225,1.0913724,0.054297805,0.34096536,-0.10863796,0.6290595,0.14393106,0.5555208,0.41049853,0.53331697,0.38050756,0.35891578,0.28128567,0.6939666,1.22911,0.2161136,0.19202988,0.35174286,0.23705268,1.0019728,0.03478937,0.17620334,-0.22125238,0.30451256,0.21810476,0.40068236,0.2169374,0.27943233,-0.001734294,-0.019335717,0.3833988,0.25014198,0.5790602,0.30908197,-0.07634301,0.35031325,0.04588277,0.31210673,0.70092624,1.0974996,-0.056575477,0.22925113,0.042172577,0.48420057,-0.10006222,0.31167355,0.7242491,0.4843054,0.77229446,0.14848608,0.1414857,0.0766475,0.24384545,0.6524091,0.78820205,-0.16734505,0.29003122,-0.1767368,0.4851592,0.48443326,0.48390245,-0.3714843,0.030327505,0.43924564,0.28241786,0.4508798,0.07589118,0.53071254,0.26376963,0.5625979,0.49075234,0.3385616,0.5990492
38,25.884817,8.271056,8.792957,2.7412941,0.90951204,3.4819677,1.2033122,1.9516326,1.418807,1.1908498,1.3005719,2.113489,1.1156323,0.79047114,0.80030704,0.86318463,0.8028581,0.73841554,0.3081119,0.5533895,0.9647892,1.2587715,0.85628736,0.688365,0.7922992,0.5665228,0.08460535,0.14814201,1.084994,0.06285754,0.34090057,-0.10489857,0.6266958,0.14412664,0.55105656,0.41065058,0.53087205,0.37968087,0.36012352,0.2821307,0.68743515,1.2173792,0.21738026,0.19050148,0.3466087,0.23323235,0.99775565,0.036580727,0.1749398,-0.21831007,0.30599192,0.21996734,0.39757285,0.22255103,0.27682728,-0.002564935,-0.019287698,0.37788346,0.24749182,0.5758803,0.3074242,-0.071670115,0.34779492,0.04240398,0.31165093,0.6962394,1.0858871,-0.05778051,0.22914398,0.043207977,0.48270586,-0.095319524,0.3165262,0.71906483,0.4766269,0.7669623,0.14725174,0.14479971,0.07552049,0.23888472,0.6461148,0.77805334,-0.16578454,0.28722513,-0.1705459,0.4786365,0.48420393,0.48460716,-0.36535618,0.032554753,0.43495566,0.27672517,0.44838652,0.07571967,0.5268808,0.2611887,0.5593452,0.4837073,0.34055638,0.59659123
39,25.734888,8.221265,8.73612,2.7249548,0.90379596,3.4613354,1.1962482,1.9405354,1.4107314,1.1821182,1.2917961,2.1024504,1.1073744,0.78592527,0.79892874,0.8595193,0.7999625,0.7353054,0.3061763,0.548778,0.9607977,1.252482,0.85078394,0.68490875,0.7868721,0.56203943,0.08448081,0.14565523,1.0782527,0.058937848,0.3370419,-0.106248915,0.6220217,0.14283423,0.5495194,0.40806997,0.52707344,0.3771759,0.3567065,0.27978906,0.6841417,1.2107004,0.21510032,0.19033353,0.3457655,0.23296738,0.99085855,0.03532321,0.17449078,-0.21691416,0.30238143,0.21585144,0.39438513,0.21758306,0.2759525,-0.0027351212,-0.018392593,0.37668002,0.24636997,0.5735584,0.30636457,-0.07410726,0.34566852,0.04231914,0.3090345,0.69198537,1.0804998,-0.05650142,0.2276335,0.042685185,0.47954807,-0.095315486,0.31243348,0.7153014,0.4754708,0.76261663,0.1459781,0.14170885,0.07448176,0.23888798,0.6433964,0.7750915,-0.16436063,0.28498685,-0.1711776,0.47688589,0.47820053,0.47991714,-0.36503902,0.031475984,0.43302903,0.2754527,0.44549254,0.074769445,0.5242215,0.25993437,0.5559601,0.48281544,0.3372985,0.5921902
40,25.599194,8.179444,8.694415,2.710469,0.89996624,3.4426315,1.1917818,1.9312724,1.4034342,1.175984,1.2846674,2.091129,1.102341,0.7821534,0.7932459,0.8552599,0.79578215,0.73125225,0.30487072,0.5454195,0.9564299,1.2460978,0.846341,0.6816217,0.7825077,0.5589693,0.084494814,0.14496553,1.0725815,0.059026796,0.3349442,-0.105481,0.6183187,0.14205855,0.54652953,0.4062203,0.5239362,0.3751077,0.35497186,0.27857384,0.68049836,1.2041937,0.21439865,0.19003731,0.34384426,0.23250005,0.98428786,0.03476447,0.1735853,-0.21652903,0.3018817,0.2156836,0.3921757,0.21652967,0.27495784,-0.0029607005,-0.017881855,0.37480417,0.24450488,0.5709158,0.30501124,-0.07384628,0.34356028,0.04259363,0.30732238,0.6882695,1.07519,-0.055776395,0.22596997,0.042801447,0.4771252,-0.09467079,0.30973703,0.711791,0.4728382,0.75820476,0.14515357,0.14108431,0.07385623,0.23790953,0.63909423,0.7710991,-0.16316912,0.28335857,-0.17015162,0.4749424,0.4765806,0.47796944,-0.36248094,0.031057784,0.4304978,0.27402145,0.4432047,0.07458986,0.52126944,0.25869685,0.5532365,0.481569,0.3351319,0.5887879
