,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
12,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
13,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
14,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
15,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
16,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
17,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
18,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
19,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
20,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
21,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
22,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
23,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
24,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
25,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
26,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
27,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
28,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
29,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
30,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
31,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
32,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
33,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
34,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
35,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
36,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
37,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
38,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
39,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
40,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
41,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
42,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
43,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
44,1167.3889,1311.3334,1532.2222,1630.3334,874.0833
