,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
50,28.374464,10.176593,4.336956,2.005741,2.3752084,2.9279368,0.8129189,1.8516465,2.2249832,1.8443952,0.708203,1.2907003,0.8177687,1.7157027,1.1206956,1.0216441,2.43932,0.24828845,0.016025007,1.9014862,1.0881156,0.78432477,0.8517138,0.098451525,1.2424669,0.1494014,0.5110181,0.23908097,0.95834106,0.7790207,0.39632094,0.50033075,0.9067782,0.7234001,0.78525937,0.6516299,-0.02733016,0.40398997,0.5934182,0.26221538,0.21117732,0.67211485,0.39463013,1.3610816,0.44997936,-0.26969814,0.6801076,0.6658865,0.7977663,0.50098586,-0.22040418,0.029779762,0.6478938,0.80903125,0.41987878,0.059797496,-0.048223168,0.32131386,1.0544441,-0.024517655,0.37930605,-0.25074646,-0.12595324,0.80275065,-0.23341128,0.4722271,0.23064706,0.10535017,0.52293515,0.6676028,0.4454472,0.07121004,0.08569664,0.44617844,0.028677076,0.3405025,0.19725627,0.26661563,0.23071025,0.10210773,0.5094422,0.2366255,0.3538951,0.51089287,0.29755437,0.6415523,0.091054514,-0.10165988,0.37481478,0.090336606,0.22393425,0.8746309,0.103383444,0.01140511,0.15955363,-0.11528176,0.035217762,0.510283,0.3938617,0.4774183
51,25.308634,11.469044,14.117471,2.6966403,3.0012462,2.965403,1.3678949,1.5133481,0.92343974,2.3074803,1.9834845,2.9000201,2.1650429,1.2830962,0.86819005,0.2798679,2.6159813,0.61579865,0.282053,0.80310065,1.351046,0.5237038,-0.32878053,-0.34891558,0.6893471,0.18708274,0.80870205,0.34884,1.7455013,0.5306073,0.443487,0.6815468,1.1110907,0.914737,0.64705205,-0.0351758,0.32327014,0.6329717,0.8291146,0.3791683,0.3728372,0.7690228,0.091110796,1.2543781,-0.3868184,0.15244573,-0.020862818,0.7407599,0.16456234,0.08518031,-0.3278996,0.3746627,1.0376755,0.07644853,0.3521238,0.4495299,0.06532177,-0.004265249,0.32748938,0.9632454,0.35365587,1.0384625,-0.18475853,0.7640336,0.48514578,0.42257422,0.911679,0.30800253,0.466807,0.43597052,-0.030783236,-0.42242,0.7693279,0.4254336,-0.03652537,-0.19965407,0.22753486,0.20327057,0.33455434,0.16756603,0.06770626,0.37251204,0.37733012,-0.45396718,0.26884854,0.3718899,0.24093254,0.5093289,0.14645232,0.66292274,0.014722869,0.19954184,0.24199685,0.324504,-0.05409065,0.27429068,0.47776043,0.021619901,0.48881882,-0.1144342
52,26.418898,8.192276,16.649021,2.503775,1.6092176,2.6352081,2.9217916,2.0964823,1.3262577,1.9214712,1.4745218,1.8245295,1.0506371,1.9315472,1.141596,0.12820798,1.520848,0.5065913,0.53009737,1.0258275,0.7840644,1.3848237,0.7706466,0.49572605,1.2490335,0.002368033,1.3424215,0.20939946,-0.09685314,0.88734746,0.42078793,0.34330246,0.7791831,0.1283024,0.6177242,0.34785727,0.95229626,-0.21772265,-0.29577976,0.76355624,0.90694726,0.56828916,0.52794147,0.92430973,0.58839405,-0.13521114,0.76903796,0.23845352,0.7544415,0.39459276,0.9669583,0.5639292,0.44112355,0.3042104,0.43724692,0.41970372,0.28152752,0.20663665,0.5827481,-0.45481253,-0.24643955,0.54548705,-0.19354953,0.57902884,0.69044626,-0.36396244,-0.09999573,0.15741464,0.25631413,0.39214,0.37075084,-0.09262693,0.46287692,0.8091401,0.9795855,0.6808177,0.75150144,0.019249976,0.16873774,0.60603976,0.29496783,0.37786904,0.23882508,-0.46529713,0.29569185,0.3461958,0.30403998,-0.07641865,0.03075476,-0.14701566,0.34843773,0.33603072,0.36474818,0.22854792,-0.17189123,0.11739829,0.33130008,0.5939109,0.4643951,0.14177793
53,22.749123,6.259621,17.189415,0.7698388,1.9964426,0.92940176,3.7319577,1.8266957,-0.26000696,1.2550116,0.5525056,1.1449485,0.26982927,1.2709131,0.7187152,0.60576534,1.9063795,0.42556548,0.7797478,1.3144975,1.6064684,-0.15866667,0.27123076,1.0206059,0.47850263,0.5088939,0.5229046,0.83733535,0.061454415,-0.1623784,0.28087786,0.5156427,0.7115217,0.2974482,0.34626436,0.8272774,0.50124556,0.228676,0.5847963,0.70167774,1.0944883,0.68646884,0.3619403,0.40753198,0.4478893,0.61846006,0.21548286,0.5915525,0.109888345,0.30701756,0.85793686,0.7243974,0.22868676,0.11237115,0.36361942,0.2326406,0.40077996,-0.16992117,0.4107435,0.4308097,0.33568668,0.7243235,0.3694822,0.43389174,0.61621857,-0.025996119,0.76628554,0.5111309,0.32201073,0.593153,0.38215178,0.24453048,0.18955594,0.22724608,0.5962382,0.8786017,0.0048471987,0.05774808,0.2440303,0.5606681,0.26940745,-0.3787348,0.17055364,0.3167156,0.12378594,0.23964013,0.32559723,-0.1735958,0.16546065,0.33564907,0.11031914,0.09905206,0.65344286,-0.10843451,-0.072011545,0.51714605,0.16869915,0.05163239,0.48640025,0.13784824
54,24.168884,7.7497063,16.717785,1.3663065,2.425093,2.2230031,4.244731,1.9942605,0.4615572,0.48820424,0.46504188,1.233174,1.2732807,0.45232594,0.36745536,0.3464538,-0.17963368,0.969628,0.5428347,0.82152367,0.93554056,-0.85895187,1.1375716,1.1345947,1.1711673,0.5315474,0.16544273,1.105243,0.50081664,0.37698096,0.36840084,-0.11476949,0.4453128,-0.020100147,0.55843717,0.52690494,-0.12747267,0.3203261,0.13212025,1.000196,0.818834,0.4446502,0.8444368,0.115128994,0.8471875,0.43597987,-0.4196052,0.37206876,0.5258483,0.29768565,1.1617813,0.53035104,0.03878984,0.26511478,0.5503015,0.38443598,0.18121736,0.028556466,0.037032902,0.1790469,0.02256161,0.5538884,0.37175253,0.27513736,0.86781573,0.43994334,0.5790919,0.3677147,0.14434308,0.53376216,0.5358546,0.56298053,0.3842593,-0.1730173,0.29836196,0.3981802,0.35928708,0.40738654,0.32621586,0.56516016,0.46258557,0.27230364,0.14739396,0.21385857,-0.1435691,0.10797587,0.55514604,-0.09828989,0.18186644,-0.33493707,-0.007349506,0.38507164,0.28113496,0.07098737,0.37445045,0.6222718,0.22953431,0.7245674,-0.06348531,-0.22595073
55,26.201334,8.879917,7.38908,1.8090343,2.0646307,2.0125678,2.2614357,1.9444575,-0.01044482,1.2564031,-0.032111764,0.5467931,1.463084,1.981056,0.91416824,1.2984405,0.34453315,0.55135363,0.6842008,1.5386674,0.81327283,1.3320789,0.43139538,0.65167874,-0.61839056,0.68520737,0.30327845,0.75830424,0.548527,0.20760338,0.4001,0.48730296,0.54791975,0.15129848,1.1283269,1.086844,0.44089618,0.19767791,0.32304686,0.45847422,1.18434,0.16968703,0.3297367,0.32360944,0.9559052,0.4823832,-0.20334655,0.19759399,0.52546823,0.17711422,0.51989233,-0.13584343,0.19175294,0.10352534,0.2660038,0.41186905,0.44556218,0.3176372,0.9802625,1.0126934,0.04836102,0.17184426,0.56657755,0.5602362,0.096529394,0.7656573,-0.044022232,0.41285473,-0.21801162,0.36038125,0.6934596,0.62301147,0.3970626,0.9295006,0.80686915,0.052777827,0.020947486,0.0754792,0.2289239,-0.084193915,0.3788883,-0.08571106,0.2776671,0.50168204,0.29022658,0.16943228,0.21986115,0.55663484,0.2265528,0.4275648,0.26530844,0.54295605,0.38111794,-0.016292408,0.40250957,0.38987976,0.06960033,0.48144883,0.35771924,-0.010867864
56,29.030935,8.455863,9.457026,1.711302,1.268581,3.1178317,2.3901916,3.2277875,0.8130068,0.64417195,-1.1433194,0.9809254,0.24944872,0.16494226,0.74052095,1.2886,1.8226082,0.50993526,1.0220499,1.4533213,0.7080902,0.89860207,0.816694,0.990754,0.3922733,0.31664526,0.30998155,0.45675385,0.58228874,0.52993894,0.57149005,-0.096357316,0.38139182,0.6041013,0.33746922,0.29744822,-0.3794743,0.3686285,0.50714266,0.9174344,0.5453691,-0.024058282,0.20029685,0.13284439,0.31949097,0.4181321,1.2756534,0.252193,0.6703752,0.3431349,0.3440279,-0.046010047,0.43562126,0.44973296,0.13968717,0.33224094,-0.11627433,0.40634322,0.044944942,1.1887386,0.48458332,0.35666624,0.21323568,0.28133708,-0.0679363,0.47852892,0.02860707,0.49625573,0.0022619963,0.35986206,0.38662344,0.23859341,0.2559832,0.34676516,-0.20415041,0.39322343,0.20992582,0.2682947,-0.02600111,0.17778227,0.6905854,0.025100455,0.14788127,0.15852574,0.5631954,0.25475237,0.04295282,0.22832072,0.27036494,0.43807596,0.289656,0.46165633,0.39912498,0.33655745,0.39251116,0.3512087,-0.48219705,0.25526777,0.32513237,0.433901
57,32.77644,7.6722364,11.365092,2.0714002,2.237573,4.056675,1.8115884,2.0224228,1.5427899,1.7148745,0.48914617,1.4855888,1.4279048,0.5758989,0.88223267,0.46880263,0.62544185,0.8178574,0.5031287,0.4564227,1.0561512,0.7224508,0.7017027,-0.08394492,0.7596533,0.44539052,0.4299772,0.6174753,0.83957803,0.80701214,0.77723575,0.33456734,0.396839,0.5953071,0.5836739,0.35381818,0.15387562,0.526623,1.3347995,0.60470235,0.19538283,0.6401681,0.6765804,0.79714096,0.34849232,0.52070373,0.5688803,0.9325248,0.5143005,-0.045404762,0.72306246,-0.37673357,0.16468741,0.5331209,0.53679484,0.51382,-0.013887972,0.07052873,-0.019462764,0.72735566,0.20934679,0.3923759,-0.14992322,0.58153784,0.32382005,0.7297199,0.66523826,0.18581915,0.46576285,0.4723825,0.59392095,0.46124023,0.75642276,-0.32086238,-0.13484338,-0.7182746,0.20525023,0.4045869,0.27436277,0.095074534,-0.31995735,0.1511476,0.26903164,0.2096548,0.39401197,0.33241358,0.4195087,0.16077799,0.13938576,0.3975974,0.34258497,0.36148635,-0.14914678,0.32029262,0.4198924,0.25363114,0.105985865,0.30521756,-0.32500887,0.039334014
58,29.61739,9.916109,12.248482,3.2723098,1.0276821,3.5014458,2.635365,2.037612,1.7355844,1.5826175,1.3423731,1.3619792,0.6752059,1.4907544,1.2752546,1.2678826,1.5066258,0.6455129,0.31811336,0.8155146,0.93436384,1.3370588,0.69692147,0.037224412,1.2151623,0.44514954,0.62886715,-0.1745894,1.0071317,0.7856517,0.20428683,0.1741808,-0.03830725,0.6824344,0.49094158,0.78417647,0.48072255,0.7257368,0.70926124,0.6598364,0.31340283,0.10249078,0.29859734,0.86976105,0.45590118,0.04946989,0.5109048,0.00852263,0.53022814,0.22718951,0.51786053,0.016574472,0.6947677,0.608075,0.16113508,0.35981992,0.17806171,0.33630973,0.67389,0.15141538,0.25160083,0.3742691,-0.043724105,0.37903753,0.32967123,0.28628457,-0.4594417,0.17429581,0.5442194,0.44876406,0.16559774,-0.04556939,0.15905729,0.7663279,0.5563761,-0.040256977,0.5291072,0.20039311,-0.061729297,0.3835847,0.24540058,0.74037266,0.28768694,0.08222769,0.21845454,0.4351294,0.09267603,0.36153716,0.105722524,0.19816676,0.27496862,0.36001593,0.065594494,0.32721972,0.18811536,-0.09678912,0.16025445,0.3265356,0.1623722,0.31205487
59,28.197447,9.438794,14.595128,3.2716532,2.422278,3.2082825,2.7938557,2.2022753,1.1527517,1.0127133,2.0895169,1.9835851,0.9245995,1.4363128,0.43000385,0.7092513,0.8221905,0.6080341,0.8452709,1.2504466,1.2100047,1.6710079,0.13486314,0.12665045,0.4382105,0.046818763,0.874509,0.37885228,0.74056965,0.100744605,0.20272742,0.7257929,0.7527902,0.3974385,0.5883477,0.16538885,0.4003824,0.40215954,0.5044048,1.0662116,0.38046393,0.43312982,0.59339136,0.97595596,0.14019266,0.29874146,1.1218438,0.05530268,-0.40258732,-0.09077963,0.016686708,0.5267282,0.2509098,-0.09272298,0.0874328,0.10024333,0.36062658,-0.06371291,0.41442424,0.49515304,0.20343828,0.77152896,0.25781956,0.4022395,0.37339827,-0.014993519,0.30506626,0.44885352,0.5567369,0.19126913,0.3268622,0.10048106,-0.020642906,0.2527055,0.38947964,0.22261256,0.3305902,0.30613953,0.033828765,0.28647065,-0.2836919,0.30070898,0.33990002,0.43399227,0.33752975,0.23776555,-0.06110756,0.17203097,0.07027833,0.63027465,0.19346115,-0.12061679,0.14616477,0.49859786,-0.0063866824,0.25813445,0.2350746,-0.5804402,0.27853072,0.123499066
