,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
31,28.120514,10.825305,4.015642,2.1314242,1.6104703,1.8803992,0.061552048,1.424822,0.2322647,0.76283133,1.5950075,1.1393374,1.6167343,1.0987885,0.6721902,1.2969226,0.75146145,0.41371608,0.9116607,0.5402075,0.726241,1.2811215,0.078205526,0.8063799,0.111474514,0.82182664,-0.08386415,0.69840544,0.8371433,0.18008709,0.8150954,0.7504624,0.6670184,0.3015613,0.7840684,0.61788476,-0.0588156,0.2066538,0.2282008,0.2704731,0.889233,-0.14747453,0.25306088,0.3394506,0.38600948,0.6454235,0.49966934,0.50679505,0.4687744,0.45397836,-0.16455832,0.50344956,0.543347,0.19321257,0.6084275,0.18727109,0.2933908,-0.023350373,0.39076832,1.6258193,0.36428142,0.36554992,0.22497392,0.7339132,-0.12617382,0.40899673,0.9181864,0.6790457,0.20810322,-0.02124101,0.4190466,0.13976073,0.10853565,1.0066609,0.5781374,0.59339595,-0.19368544,0.40593153,0.2575871,0.07806978,0.46324998,0.06617972,0.8660407,0.10729945,0.34171414,-0.01653266,0.17176583,0.53833514,-0.08312455,0.9547508,0.26139647,0.07443908,0.36879304,0.31211585,0.39775103,0.4185634,0.41504675,0.12611693,0.5666629,0.13892993
32,34.787712,7.481125,5.639433,1.7912483,0.99787647,2.6489112,1.7659407,2.3806434,1.128879,-0.4102106,0.2267679,1.2290174,0.9844859,1.1723757,0.848744,1.0917678,0.5756772,0.4047743,0.10275558,0.6476439,0.36487508,0.8250334,1.644808,0.837511,1.4994807,0.18009415,0.8810294,0.29671252,0.16566014,0.6637671,0.6260114,0.17879516,0.39690858,0.4444926,0.72748303,0.37288043,-0.04751864,0.21124884,-0.010376215,0.56675076,-0.18537003,0.5258168,0.26546407,-0.12403005,0.78131205,-0.31623203,1.0327218,0.38886467,0.94608474,0.6588094,0.5594675,0.3691255,0.2986817,1.0297955,0.90784216,0.35759693,0.1885011,0.32408136,0.3952397,-0.08324039,0.054316327,0.15032256,0.11336118,-0.0082677305,0.001971513,0.33628646,0.19922587,0.32275206,0.17552865,0.6251631,0.5475302,0.44605973,0.27549115,0.45784613,0.296169,0.60020506,0.006903976,0.47177106,0.26262277,0.1023404,0.92187774,0.40962097,0.6295147,0.41915166,0.17181882,0.38206935,0.55051434,0.018246546,0.084385715,-0.081282854,0.008509085,0.39157,0.13584438,0.44023645,0.5840929,0.2797847,-0.25880146,0.97226197,0.21846259,0.52216107
33,38.12517,10.872389,1.2807217,2.1745493,2.6569457,2.7641542,-0.6637249,0.30839002,1.0351562,1.3634295,1.4535137,0.96429515,1.7512851,2.7105827,1.065174,1.2889713,0.47341138,0.30174926,0.28784668,-0.9480877,1.3649774,1.1303413,0.022855699,0.344092,0.7052411,0.7929348,0.6108635,0.45182234,1.2406397,0.0812206,0.45859057,0.7452248,0.9305563,0.5041561,0.6665131,1.0370889,0.18629135,0.285434,1.3101466,-0.22696567,0.39135414,0.09202427,0.29834136,0.8650018,0.021479845,0.55107915,0.6737093,0.93932235,0.4169611,0.44005793,-0.13936922,-0.13586941,0.1515756,0.40720105,0.9579185,0.58830905,0.0028006732,-0.07631861,0.6295668,0.66068447,0.40583938,0.2016574,-0.35286903,0.8902776,-0.15377876,0.91933703,1.0311843,0.50734955,0.62792534,0.3284104,-0.04308459,-0.0018182695,0.42964524,0.2947781,0.42877242,0.048409253,-0.23029602,0.107411064,0.6341492,-0.019116312,0.48612702,0.09345327,0.608441,-0.3052335,0.2080314,0.44859985,0.4516828,0.35205525,-0.25954336,0.74079937,0.1523386,0.08817668,0.29256138,0.1754785,0.25448805,0.22004148,0.11919516,0.28346854,0.12856874,0.3350379
34,31.060905,11.280585,11.259447,3.0013967,1.2715962,4.056344,1.4730473,2.5693119,1.7042956,0.98871326,1.4635041,2.5530663,0.7653949,1.4256239,0.94600165,0.9080673,1.2607988,0.45235258,0.68308437,0.54429,0.45901352,1.0309,0.9383297,0.33830607,1.526931,0.024900764,1.0435157,0.27129588,0.61976767,1.0154153,0.596608,0.26624668,0.5472926,0.45863676,0.4428749,-0.004532039,0.13737045,0.4788167,-0.43908167,0.81408834,-0.21108133,0.1846348,0.19284919,0.50005877,0.24325792,-0.20482475,0.69599843,0.546523,0.92038167,0.4935249,0.15568748,0.24102984,0.91799176,0.69182146,0.6681433,0.20994732,-0.0077786148,0.5554297,0.7337388,-0.0965153,0.04839644,0.58274573,-0.43726033,0.33288917,0.12953782,-0.29863742,0.18397623,0.5975987,0.27290145,0.28179651,0.11309171,-0.12560716,0.21672645,0.44421446,0.31293827,0.28671432,0.4067505,0.33882236,0.36260998,0.2642699,0.4497105,0.8692708,0.25369725,-0.18227425,0.3442617,0.2794843,0.3422539,-0.15970625,0.23310807,0.0774567,0.07326251,0.5227197,0.1635989,0.59333694,-0.03364785,0.39702708,0.06488353,0.67249584,0.48542535,0.31771004
35,31.038738,9.7303505,5.1623964,2.0546834,3.1817822,1.6747737,0.2683977,0.29819262,1.1242925,2.5425684,1.4180012,1.5497442,1.7829363,2.5188522,0.95979714,0.7266754,0.37547004,-0.031253874,0.6575269,0.41646034,1.1379142,1.1149722,0.006844759,-5.9485435e-05,0.60765934,0.3412727,0.8359346,0.36702505,0.49574593,-0.23015735,0.33464682,0.9605706,1.4386718,0.3395245,0.6778789,0.38579887,0.32858068,0.04324454,0.6106177,0.29193646,0.5006285,0.46583265,0.31606466,1.5018208,0.42590955,0.49015644,-0.16153556,0.7770226,0.5747769,0.30048385,-0.03165862,0.07175806,0.1540464,0.27263492,0.52296436,0.51301533,0.32491368,-0.18443571,1.3249358,0.62389064,0.21108371,0.41684717,-0.06276606,1.2693565,-0.10474625,0.35830724,0.59055483,0.5168371,0.47340563,0.096817225,0.59009933,-0.29692122,-0.22385338,0.28884792,0.6224542,0.25408956,0.12126163,0.25563025,0.49993432,-0.052120656,0.03631869,-0.1325103,0.57579476,0.36376345,0.17970738,0.6139374,-0.013831839,0.088183,0.1812861,0.90198565,0.12696116,0.44265267,0.29692104,0.02103576,0.05856593,0.21281034,0.26410913,0.073569104,0.4961787,0.02118957
36,25.156488,10.585212,12.232571,1.7215209,1.4941757,2.3356402,1.5877788,2.0307887,0.72307235,1.6214533,1.3816495,2.4108038,1.0117568,0.389409,0.9537513,0.09733719,2.7510867,0.45795885,0.29635924,1.1980712,0.38153815,0.15688449,1.203949,1.0238396,2.0525057,0.053734988,0.7369604,-0.028904676,0.8785479,0.67976224,0.6481118,-0.11822742,0.6053119,0.35070252,0.3279962,-0.0577268,-0.11952123,0.4867944,-0.44431692,0.44817203,0.8732152,0.1228112,0.101450264,0.39922833,0.3666879,-0.09991276,0.40798122,0.5295446,0.77971256,0.6270647,1.0000612,0.7519382,0.7422699,0.3275976,0.72585773,0.8317219,0.29850993,0.08899606,0.066711456,0.38209534,0.29143092,0.6015248,0.21129432,0.64206666,0.4654503,-0.40745917,0.320077,0.3869467,0.17698206,0.05049762,0.39242727,0.017243773,0.34843773,0.5206065,0.3061567,0.7635772,0.07318425,0.41866097,0.39492786,0.80500484,0.63586855,0.42643473,0.20684129,-0.22610855,0.23447242,-0.20363432,0.45211953,0.10665254,0.42090163,-0.07993576,0.31910753,0.42059326,0.44759366,0.2586492,0.22625132,0.22492854,0.39789456,0.4777636,0.49100512,-0.027299434
37,33.002884,7.7645226,13.155967,1.7173014,2.929762,2.6138337,3.0124052,1.5223793,0.0126187205,1.431487,0.9138969,1.8235574,1.6812487,1.6819484,0.42473984,0.54365844,-0.6665475,0.44940183,0.8400316,0.22559059,1.3807476,1.166841,-0.081556916,0.506116,-0.27298993,0.8206425,0.863733,0.8454875,0.1495524,0.27680048,0.7293281,0.8147439,1.1324909,0.025868416,0.6858891,0.22818825,0.51903015,-0.36144042,0.5515652,0.67054045,1.1689281,0.72270423,0.6780232,0.676053,0.29425293,0.77613485,-0.27516,0.59177923,0.24129996,0.16380292,0.14946382,0.396865,-0.38526675,0.0039010942,0.78909767,0.50759465,0.31459805,0.048229873,0.7903614,0.34986138,0.12175915,0.14259297,-0.018756568,1.0745736,0.47704256,0.38152418,0.6490364,0.49652946,0.26802585,0.5798904,0.118903846,0.10290292,0.32002202,0.63419896,0.71464115,0.35741082,0.33047616,-0.14594747,0.5525326,-0.13458607,0.07808374,-0.1919626,0.45710704,-0.01927939,0.11763139,0.35681605,0.24045879,0.15980837,-0.015698045,0.31541967,0.49030733,0.062787086,0.20720263,0.008631319,0.051072463,0.67881703,0.529563,0.37704426,0.17260806,-0.07388951
38,29.456303,7.2001886,12.855062,0.50121176,1.0126872,2.3914797,3.5831358,3.225119,0.22415823,0.55000424,-0.17591524,0.68204427,-0.46690083,1.3822045,0.5562311,0.71146274,1.6879174,0.2750389,0.3181237,1.4467654,0.8930726,-0.29425937,1.3520572,1.1295139,1.1819878,0.5492673,0.22129896,0.046223283,0.1322155,0.48066097,0.48105964,-0.1873515,0.19248,0.09067464,-0.10490751,1.3221445,-0.02347064,0.36618364,0.25144717,0.47443876,1.2195401,-0.0573256,0.17653671,0.13039607,0.5232998,-0.080721855,0.8678109,0.25353462,0.6165743,0.5843667,0.96037185,0.28536463,0.31447363,0.43185896,0.44237098,0.3628911,0.21846974,0.36672568,0.5043969,0.28037944,0.35304064,0.45322973,0.35237342,0.57666373,0.37341735,0.07528117,0.17961931,0.2522447,0.15912968,0.78943455,0.28540978,0.60016793,0.059943885,0.55020344,0.218236,0.63851154,-0.08999735,0.15317036,0.20172116,0.43460712,0.90000784,0.33730835,0.18395141,0.25189283,0.23157835,0.28239685,0.3481816,-0.26938528,0.27056506,-0.25070438,0.45229024,0.48423198,0.7637875,0.17299674,0.17902717,0.2670337,-0.04012142,0.6923975,0.32343838,0.4387313
39,32.46242,8.44853,15.481348,2.1404638,3.2916546,3.4615705,3.189158,2.3529396,0.4838912,1.1925995,0.4181453,1.9873589,1.5981307,1.2324075,0.519719,0.6943575,-0.2601394,0.6330952,1.2952359,-0.13244414,1.3348798,0.348561,-0.20234925,-0.017049551,-0.15734422,0.94313926,0.12991089,1.1687124,0.99655384,0.22021554,0.6834456,0.65693474,0.8397773,0.37258682,0.68350375,0.35174185,-0.2012091,0.13441783,1.0818863,1.0240998,0.15093356,0.4282973,0.65958726,0.73332536,-0.0317719,1.0385542,-0.4534865,0.8105111,0.27852744,-0.08549264,0.037281066,-0.03270176,0.09618008,0.16857818,0.5059405,0.31111634,-0.14408791,0.079746366,0.17148817,1.0081297,0.21852559,0.5307581,-0.38490582,0.6406883,0.5931473,0.6300272,0.94175696,0.7215955,0.3071859,0.89066935,0.008550853,0.04825248,0.36708122,-0.17352793,0.16128616,-0.46065912,0.11942819,0.14412734,0.43288594,-0.06349602,-0.19623637,0.0173413,0.2648679,-0.22995931,0.3402107,0.32747954,0.28958845,0.23142375,-0.016786575,0.6385546,0.24611771,0.07786429,0.13231115,0.28454274,0.13196188,0.93567055,0.19341937,0.31397316,-0.026120946,-0.22899757
40,26.246405,9.281682,9.565893,2.0002766,1.4531684,2.7595632,3.05747,3.54037,1.85675,1.4325016,0.118311524,0.6252607,0.2889676,1.7277253,1.0922978,0.6713818,1.350853,0.3830723,0.3526255,2.0176525,0.6795982,0.6884643,1.5941391,0.20645738,1.3302412,0.043732494,0.4460668,-0.08225602,0.39361095,0.9045801,0.51406145,0.018393308,0.31787765,0.2574648,0.5942942,1.0777938,0.03471008,0.41129068,-0.03161329,0.61242163,0.5518481,-0.13390368,0.28579593,0.7558149,0.99340874,-0.47812515,0.640831,0.017369479,1.1528536,0.44531128,1.002275,-0.30244997,0.525982,0.77455044,0.2536174,0.37798336,0.21175955,0.5722252,0.79051465,0.18273105,0.06180884,0.28709352,0.15721232,0.6221734,0.031985015,0.06324056,-0.6540953,0.18544374,0.14652227,0.5223781,0.87720954,0.42764187,-0.095479876,0.5622216,0.44305548,0.110070825,0.23717006,0.40202564,-0.02663602,0.3240641,0.48336864,0.4946947,0.21778975,0.38232532,0.41359657,0.32583874,0.25659633,-0.07768689,0.3585673,-0.15598574,0.432513,0.91138923,0.3416742,0.2414689,0.3287351,-0.02382207,-0.10853155,0.74429595,0.24355935,0.2274645
