,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
12,303.99976,431.00012,1507.9989,621.9997,1083.9999
13,320.00037,324.9995,1510.9978,831.00146,1311.9995
14,414.0005,435.99707,909.9967,1558.002,965.9993
15,419.9978,406.99597,327.99707,1486.0015,960.9999
16,370.995,536.9961,957.99805,1836.0005,599.99976
17,137.99683,333.99548,230.99658,988.0011,214.00037
18,242.99683,845.9975,727.0001,2125.002,314.0007
19,241.992,509.98962,1393.9976,2477.9995,338.00085
20,300.99188,429.99426,1399.9976,2825.005,522.00214
21,315.989,535.9872,1170.9982,2174.002,557.0004
22,278.98206,532.9872,1409.9965,2324.0093,466.0025
23,250.98236,531.98706,1604.0013,2094.009,552.003
24,285.97693,642.97876,810.9994,2190.0112,537.0033
25,267.97223,850.98303,2019.0022,2697.0093,1035.005
26,378.9756,1135.9805,1479.9987,2744.0054,1396.0021
27,436.96277,988.98254,2298.0,2159.0068,1236.002
28,607.9656,1555.979,1658.0016,2530.0059,1480.0034
29,718.959,1256.9883,2009.0059,2408.0068,1299.0027
30,629.9566,1051.9841,2684.007,2449.0054,1585.0071
31,894.9575,1620.987,2083.0107,2603.0095,1330.0051
32,670.9518,1711.9905,1759.004,2557.0073,1342.0068
33,529.9543,1285.981,2001.013,3015.014,1474.0084
34,601.9474,726.9842,3185.009,3117.0073,1653.0061
35,553.94543,654.986,2434.0073,1680.0092,1331.0093
36,1549.9443,2152.9863,1682.0151,1454.0106,1416.0073
37,1208.9385,1269.9808,1234.011,365.00525,754.0088
38,947.9385,1746.9877,1391.0203,243.00879,645.01044
39,2414.9404,4139.9863,2495.009,282.99548,739.0072
40,3644.939,3410.99,2574.0151,261.99927,722.00867
41,3693.9385,4468.993,2176.0059,470.9925,629.0039
42,5263.942,4003.995,791.0171,752.9952,338.005
43,4685.9443,2641.0024,658.0195,1037.9958,259.00726
44,6188.9536,1738.0015,296.01282,1011.99084,190.00183
