,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
50,21.250946,21.63765,23.73501,5.463031,4.211981,10.24702,6.030421,0.60610807,1.9445308,1.2275494,-2.018786,11.958272,4.2054205,-0.17462061,2.820783,-0.57015747,4.121227,3.2858033,-2.7022264,4.6820316,-1.2723427,4.5246096,2.012193,-0.8451671,1.4776416,-3.4321928,3.611335,-2.8714504,5.9585743,3.6577694,-0.36373675,-1.6521897,-1.2950975,3.401865,3.9504511,-6.110603,-1.3824568,5.2291536,-6.0463357,-2.7066293,0.93047404,-1.7601057,0.12567477,-4.0513573,-3.89712,0.59337914,-4.2933292,-2.1787825,2.133683,0.23657294,-4.9264584,1.6092257,-2.928761,2.329662,3.8917713,0.035054848,-3.8802214,1.875997,-1.5393715,-1.222964,-4.4281917,1.3997577,-0.1241716,-4.942625,10.409299,1.6801839,7.101406,1.4377508,-0.47742575,6.2966647,-8.275165,-2.3300524,1.5536354,-0.57129335,-0.98946464,-2.6647575,-2.832232,2.6066728,0.042028792,1.9086874,3.166101,2.0202036,4.923127,-3.8463128,1.3274283,-3.791307,-1.6733937,-0.23644985,0.65411305,0.689955,0.33636713,4.488667,7.6355467,4.347756,-4.426861,3.3386176,5.0021176,3.9713964,-6.877863,3.7940688
51,71.255974,16.79258,30.746502,-2.6575935,9.823087,3.4892907,3.2249799,3.4629061,-4.767085,2.7147937,-4.5418935,4.446231,3.6278992,13.240306,-3.0386698,-4.8798018,-3.3158119,-5.89452,-2.6801982,-5.0018444,-3.182008,6.8682995,2.8537066,-1.3037469,-1.5333159,1.0689926,5.4145417,0.39050812,1.4598019,-1.931564,1.8100355,2.430504,3.640442,2.4950476,4.613695,1.6874658,4.2257276,5.320351,0.7023868,-0.8915747,-2.4558268,1.6204816,2.4223876,4.8411283,11.262677,-9.085541,5.2973967,4.842846,1.3766925,-4.2903066,-3.6457481,-0.94663453,6.8627334,0.38553876,-5.83068,-1.5645884,5.277667,-4.694199,6.195102,-9.676063,0.042955987,0.11095092,-2.4457872,-1.2926571,5.372317,6.2371335,0.36246118,-0.49384028,8.381452,5.3686004,6.5446563,3.5526712,3.0128262,-4.6398277,7.4904056,-0.92363465,4.203706,-5.0693507,-1.9666288,-4.845023,1.9085761,-4.0362086,4.5085726,3.412066,-1.0396303,-3.819491,-3.8220959,-8.886798,-3.617654,8.170094,-8.240172,1.1993331,1.9690129,1.1583054,3.7877843,4.9746695,-0.11323336,-2.6235685,-0.042363845,-2.1050901
52,45.907658,23.378492,27.714218,12.945826,7.3667808,3.6398563,-6.0499945,6.7942224,1.5796546,7.44215,6.5393605,11.808909,-1.0814637,2.9773066,-2.2096505,-3.0202007,1.4581717,5.1576276,-0.38690352,3.0224235,-0.50694436,-3.7515893,1.106326,2.4813027,9.263893,-3.3170438,-4.9167414,-8.756057,7.007329,-7.1749463,-8.929403,-4.7371883,11.272919,-5.5406456,2.7913136,-9.960418,0.756768,3.435234,-11.082831,0.97433877,12.099409,-4.167993,0.53437954,-8.253236,2.0890536,-2.566434,4.0141807,2.5468574,4.909207,-1.661748,-5.173092,-4.708448,6.332985,4.883627,1.7461977,-0.0998313,-0.35740793,-5.613657,4.810985,-1.0193995,7.985342,4.174156,10.2366,-5.048129,-2.3494747,-1.302494,-1.4949477,5.796456,-2.4739997,1.4371915,-9.761716,0.85937345,9.631763,1.8271545,4.359419,-8.504395,7.359095,2.0288384,2.61181,-3.1161418,12.23472,4.912687,2.8710155,2.0173283,6.0124307,-3.9728894,2.403737,-9.309653,-2.2172606,2.9888854,-1.4756407,-1.778036,5.933687,3.162466,-6.449954,7.9933705,0.2451798,6.5076237,4.7986684,0.4098962
53,82.383484,41.31993,36.939735,11.966343,8.58162,-2.0569248,-7.8997493,-0.32298517,8.993001,6.0696697,-0.66114175,12.590524,8.116699,14.624478,4.030877,-4.6990952,-2.029501,1.9490339,11.524405,9.438018,8.770835,7.8780913,-2.1460984,1.5435433,-3.5020366,1.16402,4.5346627,-3.8488717,1.4227314,-1.441427,1.7120697,2.1610472,9.747782,7.007918,11.618434,-6.2452044,-3.9478667,9.923551,-4.7338414,3.3133674,-1.7175872,-11.855777,1.8292261,12.428584,6.7868795,2.1848757,9.680533,-1.8910801,5.093322,-10.543112,3.5561574,4.990269,5.69776,-1.7739737,6.811316,-0.92436266,-0.36451983,3.219657,2.0316725,-12.304398,0.6869908,4.454254,-5.697477,-0.6047106,14.968227,-1.2706232,7.9113493,-1.3242555,3.8526776,-1.881937,9.646498,-3.4064817,-9.542443,-0.8924453,3.4174,-5.4128265,9.54384,3.6665294,-3.2534044,-9.718958,5.4556274,2.796538,7.548938,-0.6504306,-0.9441991,2.1410306,9.400772,-2.0473127,-4.590952,13.394764,-5.525483,2.3865874,3.2033865,2.6058564,-5.481819,2.41939,3.260534,11.131828,6.487201,1.3516167
54,50.095146,12.1573715,25.092945,13.431843,9.762497,6.5130105,-7.0126944,-0.9436046,15.315838,13.743731,3.4399338,-4.1269574,0.70208615,14.167679,-1.2509099,6.335919,14.305934,-1.3885514,6.050555,5.110307,5.61648,-10.062575,1.9902664,22.729343,21.409885,7.0291286,-10.217408,3.5319443,-0.56911445,-13.402317,4.7764077,-1.8455851,3.7085195,-2.470227,8.833684,-4.182714,-0.090794295,0.22895443,3.0274088,3.5865393,18.93613,0.82858527,-7.757096,2.083024,6.8073936,-1.3668902,10.528205,2.9097643,5.393518,7.606516,-1.591708,1.5985702,9.287184,4.862948,4.190241,-2.8800128,3.9867961,-4.045296,1.370011,-4.4242306,11.055233,7.173554,16.07611,8.740699,-0.9465069,4.994144,-0.66700256,7.9969654,-7.608739,8.14005,6.2658277,8.4159775,0.8591339,12.138179,10.606555,2.2918258,0.7317347,-3.8625734,3.29047,1.1685858,2.4309926,0.25929588,19.179491,13.931835,0.07706326,1.7227888,10.004859,-0.83432937,-8.359521,-2.0840206,-1.1231213,7.972382,-4.299169,0.31236365,3.7853985,-9.024372,0.6846634,-3.277054,14.080334,10.978093
55,52.11428,39.679935,35.611687,3.334691,6.078709,11.385971,-1.669809,1.6610318,-1.9786375,0.12092227,3.1786346,24.966747,14.242792,1.0685468,2.7087858,-6.2595105,8.677672,9.9126625,-4.1041694,9.646824,9.265607,4.6531816,9.986825,0.64631706,0.39873597,-3.6705792,-8.489596,-0.84401405,5.0216856,-11.119916,-4.2212625,-1.3231368,18.726017,12.442876,13.637835,-13.8565035,1.4876019,-6.322333,-5.6305327,10.598477,-6.4241457,10.056058,4.3970895,3.346455,2.6951132,0.24314085,2.2852705,-3.144721,-0.5150441,-0.50166494,-5.106228,-3.7957954,22.672625,-13.095278,-0.36238548,-4.966622,-3.8345404,-0.10465188,3.8180768,4.124679,3.2956293,-0.020557018,11.132161,-2.6636875,1.8621057,2.0366788,-0.52151656,7.796361,-0.55598664,5.64013,4.1438975,0.29478022,-1.0547028,2.817212,-2.4972436,-3.7603323,7.5832143,-8.927002,-4.8159904,-4.0421863,10.257949,3.8274195,2.886672,-3.3717337,13.863443,4.344105,8.367697,-8.831905,6.133554,-0.01872632,-7.784922,-8.125201,2.0107532,7.832269,-0.071835086,8.732152,1.6600069,6.4112396,5.398086,-1.0437765
56,128.49843,21.56348,19.198828,10.855933,12.729086,26.454203,7.2425694,-13.876842,7.605327,9.758491,-17.501877,-1.7311907,-17.656143,9.918193,24.209648,-6.047221,6.7835197,6.5223684,-20.047745,6.836515,-14.106158,9.601868,-5.177829,23.448574,13.174043,14.747102,-8.609581,-3.1049848,-6.985895,-6.5500617,14.767388,4.254737,3.007969,13.432765,-13.843135,0.8990416,-11.541309,3.9964564,11.646298,-7.0789003,9.54411,8.794824,7.3154,9.967692,-3.2700708,23.450916,3.0432208,25.282131,2.6958234,18.06424,-12.442681,5.2443175,2.138465,6.8441477,3.9690616,-3.779127,5.799454,8.556355,-0.47921002,-11.429348,0.43534437,-11.610378,0.0143049285,-8.370849,0.14246954,12.26059,-0.33847657,16.144497,4.4948134,-5.777805,-15.285849,5.1625843,-11.600909,8.747599,2.826703,10.810434,-5.260291,-10.32476,2.096413,-3.5887313,0.3251961,-2.6981862,4.6057415,18.024704,-19.485605,23.738865,11.9035845,-0.025574133,0.3399945,-7.313058,-8.17421,-0.062045366,-6.6966996,-3.525352,-1.8209312,-6.5476108,-0.14673159,15.359774,15.227646,3.6671972
57,108.30978,31.745144,63.97821,32.741062,11.32044,46.526714,-2.0644014,-7.3701477,-18.654419,-4.7024775,5.297575,39.489315,7.6724815,20.07454,-3.7487283,-6.8174276,-5.848888,3.9820395,-0.9851171,5.210472,10.075904,6.0374784,-11.173478,-18.59251,16.406391,-6.606363,4.1121225,3.8837297,-5.5675454,13.980405,-5.933629,4.643643,21.68701,-3.2673643,-14.125463,-4.0065823,14.976988,-7.633556,-19.595926,16.460535,-3.0332515,6.874772,14.641747,-5.2380495,8.242154,16.720806,-1.2811382,15.358161,12.334281,-13.859451,2.0468419,-8.7889185,6.764651,-17.660576,-16.619831,0.24761997,-5.0124917,-6.4060993,0.8544202,2.4850247,1.9683387,-9.158921,-8.083753,-22.29389,12.577156,1.9698721,2.9599304,-1.8603822,-0.08398716,12.216822,4.0360065,13.690897,-9.418108,11.059124,11.226677,3.1576989,2.9315097,-3.6653152,-9.072967,5.466374,12.826379,-5.8465314,1.1377834,-10.396731,6.0095468,17.372688,1.9015995,-13.320143,8.667178,-4.673773,-7.7568665,-30.25469,4.787158,0.7019511,-12.024388,28.915293,4.3094935,24.450602,-14.264012,-8.483893
58,129.61555,68.48621,52.174046,-12.866322,25.30464,20.53734,21.993011,29.69382,12.335635,33.15988,10.550633,-3.989046,17.226902,10.089039,1.8161162,2.1192768,-11.27794,15.514005,17.661665,-17.931389,26.569887,9.03334,10.041525,9.012799,8.938814,15.8550625,-2.4437983,-10.46463,-8.975399,-14.404745,12.4890375,9.436662,-5.963681,-12.048479,-1.9641603,-6.93061,-0.9887558,15.638581,8.557434,19.79812,27.189573,-3.5825367,-5.1087284,-1.4566853,17.384394,2.2103906,8.321193,13.359258,0.38824615,4.620966,18.396172,-21.449196,7.5964813,4.5733366,-7.00381,4.0424247,15.51017,12.735278,15.869062,-10.069874,16.835728,8.049871,8.047656,0.25566947,5.1119742,-18.939486,-5.750586,11.48177,12.218106,10.9932995,8.003457,-10.386092,-1.4705381,7.8213477,1.676289,0.14481214,4.3838086,10.532166,3.6399093,-7.2929406,21.560553,-9.437692,28.405027,-3.578307,-3.2579608,-3.5568662,8.251405,13.524823,-28.541813,10.091276,-0.4319959,11.743232,9.322453,10.73699,7.537936,-8.725571,-10.74306,-5.9897738,7.8184714,19.591778
59,123.31692,50.13072,75.34828,17.683773,20.55711,18.79136,5.691588,19.691423,28.517242,27.178688,-19.170633,14.932113,-5.5366635,4.638809,1.0947644,24.33196,35.44607,18.158094,30.501757,21.577225,8.5910225,-5.339926,-16.733442,0.1603077,19.372477,1.9067874,-15.697175,20.434052,22.438437,-5.3813596,3.6572058,-15.664872,21.139957,-4.3585463,-0.8764537,1.314787,8.638905,4.2945576,2.6458876,1.4136649,1.7126516,-5.4162936,-3.449843,1.7679548,1.4506001,0.4237299,13.678397,8.196605,4.112973,-10.490269,16.808418,2.1504533,9.735853,1.1247321,1.7975347,3.6819108,-21.497763,-11.435355,-10.481389,-12.504599,0.13140032,5.579494,-4.8082323,12.469595,-20.744379,-0.69023854,0.80394155,2.261181,-10.433335,13.310879,9.735537,13.358978,-5.1814623,-13.776748,9.145046,-21.36357,3.5086763,21.015131,8.805125,4.3501797,-5.5225587,-16.058031,29.433334,17.598959,-3.7052898,5.8310843,3.8755538,-2.7809188,5.7771554,16.890553,-8.777159,2.8462687,-22.566683,-14.736418,-0.20539145,12.703087,-13.699712,13.522635,-9.358968,13.048038
