,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
31,10.735325,4.9621797,2.1472511,0.77539593,-0.2997126,-0.47330445,0.29112542,-0.33363956,0.86369264,-0.2933046,1.2755839,-0.25557047,0.6902029,-0.25055772,1.9125671,-1.2099954,0.018273896,-1.3942697,-0.13521104,-0.3556608,1.148062,0.9612745,-0.4763853,-0.5659849,0.1185388,0.39409113,0.9172689,1.8548735,1.0349406,0.31137443,-1.2709138,1.9902241,-1.1126859,2.10715,2.4207485,-0.40114796,1.8340526,1.7779284,0.20516454,0.6237645,-2.4864678,0.22290128,0.68553853,1.6523135,-0.060276926,0.48532927,0.98475224,-1.2349861,0.39281896,-0.9188664,0.9961136,0.7534322,1.3642287,-0.76242256,-0.33850121,-0.6124489,1.186198,0.8153733,-1.2994952,-0.70211625,1.9895272,1.9465996,0.082550205,-0.6327556,1.3178889,1.1252388,0.26553681,1.854205,0.3025337,0.058889754,0.8628299,1.6002349,-1.0708768,-0.1222876,1.2951039,0.14670193,-0.7782579,-1.0038468,-2.998431,-0.49940455,-0.75808066,0.5335277,2.208922,-0.48625308,-1.1707883,1.7098746,-1.7986623,-0.7968716,-0.79265726,0.109860346,-1.3445829,0.8317901,-0.7745218,1.6881671,1.8527772,-0.2441088,-0.14360622,-0.65350354,-1.5437379,-1.4998647
32,20.25627,3.1357007,-0.46199167,2.006143,1.9527274,0.6846053,2.8628936,1.7205707,1.3733803,0.048299193,0.47397363,-2.1608155,3.320946,2.5481384,4.6128163,-2.0511138,0.8996322,3.7807167,-0.7980605,-1.376896,-0.8178101,-0.2152265,2.5498583,2.634201,2.5628858,-0.5464666,-0.59118944,-0.84379363,1.4292219,0.12539506,0.8997629,1.3936995,-0.39736307,0.53859854,-0.41488254,-1.2822679,-1.5437341,0.10038096,1.8059849,-2.8682804,-0.21199879,0.31210488,0.28496403,-2.0229983,4.0011325,1.806078,3.25581,1.0501556,2.685282,2.2068527,4.18836,-0.34736705,1.0687635,1.5962822,0.5723316,0.23922019,1.5944564,-0.22935839,0.5631277,-0.07099692,-0.7074518,-0.0071057696,-1.3725828,0.1872099,0.40452754,-1.1587346,0.103886575,-0.0489776,1.1609844,0.43723398,0.004597321,0.87718594,1.9617796,2.3020673,4.131154,0.039764598,-1.0038961,0.8590189,1.655431,0.102098055,-0.7093253,2.0815456,-3.1424918,0.3143648,0.2989993,-0.15701711,0.6158258,0.039363936,1.207516,1.9537058,-0.6616366,-2.323169,1.3908619,-1.2988378,0.41923612,-2.0609674,-0.52535725,-0.7771551,0.8726176,2.8304632
33,19.740808,15.584712,2.3714068,5.045069,3.3223805,3.4436474,2.1087427,-0.2931616,3.7547293,0.39670283,0.3654771,2.2928267,0.42233527,-0.6826016,2.9773033,0.892415,1.4483771,-1.6693536,0.9948478,1.6972008,4.1972375,1.9348065,-2.0383914,2.0116396,0.2306718,1.371547,3.6901937,1.1231455,-0.1486505,2.065749,-0.5700652,0.04419042,-0.66366696,0.043787897,2.1503315,-0.18028034,1.0334579,1.2999997,0.8834999,0.8370223,-1.3934104,-0.19162525,-0.87356526,0.1020664,-2.8061314,0.64437157,1.2659662,-0.06981537,0.44430768,-1.414451,0.13100833,0.6588214,-1.37956,0.100828834,1.7979735,1.2977622,0.4364103,2.1330516,-2.6000512,-2.013233,0.09755147,0.49123833,-1.4444885,-1.3234452,2.550124,0.89759755,1.4486415,-0.6400946,1.1320934,1.2564939,-1.3577689,0.32458568,-0.48933196,1.3199476,1.6842238,1.107622,-1.4578408,-2.4824681,-2.939886,1.7245,-1.0642534,-1.0224241,1.3929307,0.045014367,-0.76338255,1.0761964,-1.1574678,0.33841783,-0.8638945,-1.0268703,0.58858967,-1.7817451,0.9267708,-0.3762485,-1.8149221,0.2354131,0.21806467,0.37973347,-3.7480538,-0.29812756
34,35.76618,11.948809,2.977772,0.49672323,2.740066,2.4409428,1.867761,1.653957,0.4791867,2.4233792,4.2526813,-0.4199362,6.3806944,6.495463,2.5080378,-2.9517705,-1.535043,4.280751,-1.9959801,-1.1325818,1.984484,4.2281356,2.8257957,1.2629538,-2.9173667,-1.8656914,0.09009011,-1.0822693,2.2573118,-1.9984531,-0.94468313,3.516252,-2.9848135,-0.77142286,-1.3090512,-0.67507833,-1.7398793,3.3148727,3.9983017,-1.275317,1.4528794,0.844052,2.8114364,-0.49897248,7.0276423,-1.025895,4.6161833,2.3012967,0.034870118,3.3706818,2.3997424,-3.1626441,2.8360977,1.2963519,-1.9330776,-1.5903996,3.5921319,-0.54722667,2.3427663,0.53538334,-0.3251453,-0.9625567,0.089428894,-1.2158042,0.7479979,1.9997689,3.6755865,1.8262482,4.740408,4.258251,-2.2183034,2.2998195,1.1084569,4.7864547,1.4318324,-2.0053604,-1.2773132,2.093435,-0.19162789,-0.007774854,1.4842716,3.2795389,1.4096272,-0.22243102,0.8533547,1.5024638,2.2678084,0.55069745,-2.5520484,1.3494773,-3.619983,2.7711148,1.9514395,0.46375236,0.092225745,-1.0722054,0.08294454,-1.5987453,2.0413387,4.1491847
35,24.521696,25.331745,7.2300534,6.433811,7.8718433,8.284679,1.2355981,1.3769757,0.79056585,3.4699214,2.0633047,4.9245744,6.128462,-1.7898487,5.4379888,5.479475,7.8682413,1.9899168,0.6506653,-0.87207615,-2.400261,3.2205286,2.1786249,6.175996,0.07473174,3.4946487,0.8749295,2.0188003,3.8982005,-2.2634933,1.7019694,5.3820024,0.7472088,1.5688366,0.5384513,-1.5208865,0.48670602,2.902377,0.960607,0.31906974,0.35336342,3.6538289,-1.4020733,1.1476657,1.6227143,-1.0440717,-0.014801592,2.732728,3.6713328,0.029604713,0.6127297,1.1304175,3.5686963,0.62961495,1.7354599,0.47000235,0.54795176,1.2300937,2.3581388,-3.686883,-3.0851805,0.24221185,0.39013126,-2.7183537,-0.12012245,-0.040146664,3.7223148,1.2345643,4.132126,-1.7999315,-1.7681249,-6.1045575,0.71485615,2.1936705,3.9162445,1.774165,-1.0979236,-1.9210075,0.4129281,2.3670766,4.1386127,0.40945596,-3.203378,3.9521995,-2.7445936,-0.50466657,0.13747616,0.22615178,1.0382073,1.3584363,0.16546252,-3.086172,3.13844,-0.40385315,-0.45779043,-1.4355178,1.6106328,-2.0358198,0.5588268,-0.4407149
36,49.664074,24.656862,0.52873397,6.8253922,5.249634,1.9292094,-0.6079047,-2.3112726,6.6443634,5.0828314,3.5777073,5.418755,1.4924183,4.2423916,2.2295535,-0.26551494,-1.3905089,0.21008368,3.4944017,4.7072897,0.38170606,0.65272397,1.2139353,0.3011765,-2.0586889,-0.102188416,1.164984,-0.09703098,1.1239854,4.2462864,2.23401,2.301345,-0.37549785,-0.81856465,-3.918101,-1.0341048,-1.3373437,2.6142545,1.9144284,1.541845,1.4018775,1.6622612,3.8805966,2.4368212,2.2513127,-2.097272,2.09498,-1.0339105,-0.86224616,4.4962745,-1.5981166,3.7107348,-0.26854447,2.0252385,6.2617993,2.6670241,1.3650205,0.4037947,-1.3966262,1.286145,-0.46834844,1.7654289,-1.2376469,0.69746476,3.932112,-1.1776255,2.6813364,0.12791713,2.1728904,1.7427078,-1.3444294,1.4308846,-0.9120618,3.7637753,0.71226025,1.2451723,0.8760486,1.4181606,1.6540887,5.919843,1.8863113,-1.3276068,0.3360889,2.1609275,-1.2705349,4.2689056,2.967137,-0.7059605,0.7515738,-1.6720507,-0.5667594,2.0381942,3.3750432,1.7709757,-6.864833,6.0410285,0.77618027,4.065681,-0.3684322,3.77819
37,26.929169,20.577927,6.066252,0.035721302,8.018657,2.3033361,-5.3788633,-2.6534605,0.1860962,7.4987764,0.016805604,-0.7281173,-0.40021902,3.6797442,0.16672495,-6.2194915,4.050074,4.1279044,-0.22425032,0.13636526,-3.3996236,0.34274736,10.335133,5.9607897,4.575336,4.242159,1.4207369,0.82078815,0.29568785,-2.3863575,7.2085166,7.777227,3.845149,2.8928142,-5.033867,-2.6929235,3.3466039,2.1131365,4.73773,-3.4936526,1.0570005,5.8787155,-1.8775159,2.7198124,9.770579,2.3452826,3.3399713,5.3446083,-1.031251,-0.59567684,-3.3327193,2.5834603,3.010648,9.463552,-0.4202722,-5.618368,-2.7173514,0.7557359,2.3399935,1.6733078,10.620068,-2.1227582,0.15203601,3.5691435,5.3243527,4.642303,-3.5079515,-2.4966335,9.717493,-2.7519948,7.917146,2.756857,4.4842997,-1.837253,-0.8442457,0.38174072,1.2088683,-5.5875006,1.8141619,-5.2933893,2.988946,-3.6495626,4.6254597,6.7697906,-1.66265,0.10286861,0.7406985,-8.817716,-4.0209928,2.049977,-2.0351822,-1.7931604,2.2905073,-1.5904672,-2.5325413,3.8720748,-6.4499984,-5.0995684,5.030073,1.280348
38,51.007294,26.455418,17.197067,16.302006,10.254867,13.381704,-3.6247642,-0.5115585,12.101063,15.623147,1.3109534,6.554147,10.608203,0.9217587,-3.5090497,1.2808641,12.931901,7.5341506,2.7812755,6.407658,-1.2099633,-5.776409,-3.207902,-7.112623,9.543262,0.45720938,3.1292942,-6.863507,15.270986,-2.228723,-0.9844447,-4.6649637,1.7032205,-8.945119,3.8836405,3.9999363,-3.6720161,0.90366167,-6.088402,3.8418381,8.970099,-0.36763716,0.5984808,-1.7528938,0.18353602,3.0890603,-1.260268,6.343894,-3.6452775,-2.0717678,-0.005760491,-3.4327972,-5.1826878,-1.9830841,7.4751024,4.205987,2.6149118,-4.9164896,-0.28385505,-1.6591245,1.9101425,5.195402,4.9544587,-5.1254044,4.9900446,-5.690665,-4.876377,2.4553268,-4.116304,1.2972263,4.978013,5.375929,-3.469877,-3.5907478,2.457077,-8.206378,2.2488618,10.198938,7.4754705,-3.1547048,3.8000724,-2.53089,4.7231765,1.2776073,-1.7073822,-2.4913297,6.3365464,2.7359357,-1.9041936,4.4751673,2.1976225,-0.006109908,2.6144042,-5.038682,-2.992989,3.7332144,-1.9311345,8.422402,-3.2509758,-0.3989982
39,37.48765,28.96028,24.865313,7.9016814,12.143673,7.2311206,-1.4392865,6.798853,4.623755,6.116926,-4.0354548,5.8041964,-0.7266559,2.4898884,-0.13163887,1.3482786,6.635391,-0.16400948,4.9409595,4.635334,9.70065,15.115821,-0.78053784,4.7541294,1.2335995,2.3566356,0.46064052,2.2044003,-2.8320131,6.344525,-0.4841569,6.4562917,-1.215759,-0.9015697,3.7286685,-2.218495,6.6614037,6.6274686,0.55938184,5.565942,6.1372085,-0.17970894,13.922389,7.0664215,0.79639345,3.3434577,-4.145926,-1.6807473,8.088025,-2.3201897,7.4293613,2.5873218,-1.8552969,-3.4350164,3.070565,-1.3991683,-2.7925448,-2.324423,-0.38606972,-2.6601617,5.4796734,0.50622916,-0.3508147,-2.5594356,-0.65732443,-3.6495872,11.746975,2.9435704,-5.010131,3.1996846,3.821599,3.0852034,-5.9435854,2.4832823,4.667618,4.473689,-5.469522,1.5961907,2.2174242,2.136919,14.300871,1.523165,18.578783,7.6876297,-6.9287715,-1.2012947,2.35937,0.11013071,-5.324907,8.802815,6.291557,5.6019244,2.797904,3.9483218,-3.8154798,2.8318858,1.4719383,0.67239636,-6.1753664,-0.5869944
40,47.555046,11.561612,12.854288,6.133579,6.3765593,-0.37796423,-8.448057,1.4928817,0.44743085,-1.7555996,-1.6219542,6.5114007,10.018319,-0.2376846,3.9038959,-2.3309681,0.3272251,-1.0885175,5.217067,-2.861844,8.904018,-2.5876062,0.4858119,8.630942,13.739153,-1.7019165,-8.253815,4.116245,6.535212,-13.66144,5.9418283,-2.0720093,1.1037929,-0.66858685,6.876159,-6.5088987,-10.875646,1.904639,-3.1066613,1.0956312,7.906604,-3.8144598,1.4178139,-17.086607,10.302523,-2.9954462,9.676697,-0.877922,5.5175056,-4.9322505,2.4663973,-8.15247,7.646973,4.573379,1.1094579,1.3181137,4.297057,-9.379656,-1.8217303,-3.1781192,3.3088334,9.468987,7.530731,2.5728476,-2.3532553,1.6988096,3.8616452,0.3289673,-3.4720032,7.749415,1.1462603,9.743896,-1.4482026,3.9223619,15.065418,-3.5107892,5.850716,-0.06110511,4.9777575,-3.6983051,0.5273318,-3.3041375,7.093879,2.997168,-0.5073469,-7.021316,8.443158,-7.154084,0.5980192,10.5601015,-6.037432,1.1334991,6.35044,-3.7229617,6.1952887,4.717189,-5.5783715,3.7880573,3.40694,11.031048
