,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
12,998.8509,1288.8732,1210.586,1192.3483,652.12604
13,513.32086,842.5454,1143.5867,1690.4409,734.40546
14,1380.8098,1787.3662,1689.3705,1684.1771,913.5554
15,2166.8079,2615.555,2100.815,1510.3456,1014.38306
16,2009.8333,2399.8484,1871.9226,1242.2518,882.7663
17,2278.781,2732.3325,2155.5784,1477.9177,1026.0103
18,2231.2185,2667.6045,2088.17,1400.683,987.56964
19,2088.9333,2494.246,1945.4808,1291.0712,917.3326
20,2348.215,2819.7185,2233.3623,1548.0195,1066.394
21,1923.328,2296.6116,1791.181,1188.0458,844.7476
22,2288.3035,2748.7292,2179.2214,1514.1869,1041.3232
23,2198.667,2633.5566,2071.8787,1409.3854,983.9421
24,2268.1404,2709.6113,2116.6716,1411.3921,999.19965
25,2248.9065,2695.3003,2123.8694,1451.2725,1009.8963
26,1975.3877,2358.7454,1839.6969,1220.5049,867.59406
27,2316.1504,2788.126,2223.0564,1568.3839,1067.141
28,2189.1624,2614.7156,2041.2109,1358.5065,963.2017
29,2277.3596,2728.3418,2147.7913,1463.548,1020.3363
30,2236.4634,2671.3452,2085.6812,1388.7628,984.29
31,2063.137,2463.4712,1921.451,1275.0801,906.0558
32,2347.4626,2816.0142,2224.4634,1530.6705,1059.8525
33,1905.0947,2274.8442,1774.1991,1176.6981,836.7427
34,2255.3948,2708.0664,2144.5256,1485.4503,1023.8493
35,2197.9114,2633.14,2072.573,1411.809,984.67847
36,2230.9617,2663.7637,2077.7058,1379.1608,979.55707
37,2298.3806,2757.9053,2180.2507,1503.232,1039.4208
38,1890.6294,2257.5806,1760.7338,1167.7777,830.42426
39,2268.6018,2736.176,2192.777,1567.7692,1056.9529
40,2168.2927,2597.2556,2043.4503,1390.2616,970.52826
41,2356.3281,2819.7734,2213.0623,1495.5042,1048.6755
42,2247.4448,2689.5872,2110.9314,1426.4974,1000.4704
43,2009.6252,2399.594,1871.6263,1241.8607,882.5973
44,2343.1033,2823.8281,2258.405,1606.2545,1086.7544
