,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
12,733.6612,1084.7008,983.19775,1205.1544,511.64786
13,733.0634,1095.3033,993.82086,1239.1288,483.8388
14,679.32526,1016.7223,918.0608,1158.1986,444.43362
15,667.8421,991.7269,884.4008,1101.6241,436.61862
16,637.79535,948.723,847.02515,1059.6873,411.9664
17,606.09265,900.7556,803.3049,1002.7645,392.69452
18,577.5007,858.26746,765.51746,955.7862,374.24387
19,549.8526,817.1882,728.7102,909.93744,355.90875
20,523.355,777.72406,693.47485,865.7209,338.97235
21,498.18353,740.33636,660.17065,824.2011,322.6073
22,474.2307,704.72125,628.39044,784.4989,307.0943
23,451.42117,670.8158,598.1609,746.7414,292.32715
24,429.71472,638.5489,569.38477,710.8054,278.26376
25,409.05496,607.83813,541.9982,676.6031,264.88278
26,389.39136,578.6083,515.9323,644.05023,252.14543
27,370.676,550.7878,491.12292,613.06647,240.02287
28,352.86313,524.3089,467.5102,583.57733,228.4848
29,335.90933,499.10703,445.03604,555.51013,217.50304
30,319.773,475.1204,423.64572,528.79645,207.05093
31,304.41492,452.29053,403.2869,503.3709,197.1028
32,289.79736,430.56158,383.90988,479.1716,187.63448
33,275.88477,409.88046,365.4672,456.1391,178.62268
34,262.64307,390.19666,347.914,434.2175,170.04553
35,250.0399,371.46213,331.20724,413.35303,161.88193
36,238.04459,353.63104,315.30612,393.4945,154.11208
37,226.62766,336.65976,300.17178,374.59378,146.71687
38,215.76128,320.5069,285.7673,356.60458,139.67825
39,205.41895,305.133,272.05743,339.48273,132.97913
40,195.57533,290.50046,259.0087,323.18658,126.603004
41,186.20647,276.5736,246.58926,307.67633,120.53437
42,177.28932,263.31827,234.76868,292.914,114.758415
43,168.80226,250.70222,223.51814,278.8636,109.260956
44,160.72444,238.69458,212.8102,265.49078,104.02861
