,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
12,228.08829,384.58286,1371.0636,835.798,1119.1437
13,341.73026,421.9083,1067.4784,1229.0881,1059.4966
14,367.9311,373.41318,709.7747,1432.0366,825.2562
15,325.83823,363.54684,633.00323,1559.6539,612.42847
16,253.19772,398.64575,580.9452,1633.4447,396.6667
17,191.14555,521.0497,667.6482,1917.83,339.59583
18,146.87834,570.349,889.5256,2286.626,377.85318
19,186.68822,613.4571,1149.1647,2578.4946,459.17334
20,275.32666,682.7546,1347.1669,2627.9888,537.7201
21,300.0624,759.448,1492.6472,2590.034,635.50305
22,294.57202,767.77655,1628.5886,2545.9705,766.2622
23,324.6058,732.8085,1734.4739,2490.5056,915.7052
24,363.25464,707.4071,1771.258,2381.1086,1036.7126
25,403.18942,699.61505,1730.9253,2247.8438,1100.1545
26,474.01163,714.14246,1641.5729,2131.2737,1113.9053
27,535.52234,708.02045,1519.7533,2010.6052,1077.5222
28,554.6532,667.29315,1346.7883,1870.7113,972.4971
29,534.3217,589.48254,1115.4127,1708.9556,805.01483
30,447.5411,467.212,866.3648,1541.3297,591.6889
31,274.20645,325.81924,665.8852,1456.3883,392.45233
32,153.21518,433.57852,757.851,1723.7219,406.99884
33,137.60336,500.44467,895.6632,2100.773,452.1485
34,218.66336,563.15625,1062.3319,2444.0977,490.80182
35,273.21338,642.88983,1239.8215,2538.3748,536.2635
36,296.58875,712.5109,1363.7512,2530.3433,584.476
37,294.11243,717.63055,1488.5704,2490.0066,675.25604
38,308.78046,693.80084,1579.0454,2451.1726,784.8358
39,336.22516,677.1922,1628.3334,2375.656,887.3556
40,359.1056,663.4154,1618.3226,2280.0198,955.2061
41,383.97607,638.34094,1561.5522,2179.639,980.6404
42,409.12042,609.9927,1461.7875,2073.4167,961.2004
43,429.83203,589.5359,1324.0804,1967.2772,891.5166
44,415.12778,534.1781,1148.0162,1857.3489,768.69495
